Date,Open,Close,High,Low
2019-06-21 00:00:00,1.0,2.6388,5.0,1.0
2019-06-21 04:00:00,2.6388,2.8498,2.8968,2.6388
2019-06-21 08:00:00,2.87,3.1764,3.2817,2.8041
2019-06-21 12:00:00,3.178,2.994,3.1861,2.8631
2019-06-21 16:00:00,2.9961,3.138,3.16,2.9367
2019-06-21 20:00:00,3.138,3.1696,3.242,2.9849
2019-06-22 00:00:00,3.1819,2.524,3.1846,2.5054
2019-06-22 04:00:00,2.5002,2.4197,2.5267,2.3705
2019-06-22 08:00:00,2.4185,2.4936,2.4936,2.3797
2019-06-22 12:00:00,2.482,2.1581,2.482,2.053
2019-06-22 16:00:00,2.1582,2.1231,2.2012,1.8322
2019-06-22 20:00:00,2.1181,2.1515,2.2236,2.0633
2019-06-23 00:00:00,2.1516,2.0139,2.1931,1.9501
2019-06-23 04:00:00,2.0146,2.0575,2.0575,1.96
2019-06-23 08:00:00,2.0566,1.9994,2.0762,1.96
2019-06-23 12:00:00,1.9983,1.98,2.0253,1.9576
2019-06-23 16:00:00,1.9662,1.9192,2.0295,1.9
2019-06-23 20:00:00,1.9161,1.8672,1.918,1.7752
2019-06-24 00:00:00,1.8589,1.7359,1.9741,1.7028
2019-06-24 04:00:00,1.7351,1.6645,1.7699,1.6434
2019-06-24 08:00:00,1.6648,1.6824,1.7169,1.6473
2019-06-24 12:00:00,1.6853,1.5413,1.7018,1.5
2019-06-24 16:00:00,1.5312,1.3724,1.5312,1.2921
2019-06-24 20:00:00,1.3862,1.3876,1.4385,1.3069
2019-06-25 00:00:00,1.3877,1.3877,1.4472,1.3196
2019-06-25 04:00:00,1.3724,1.3502,1.403,1.3039
2019-06-25 08:00:00,1.3605,1.3724,1.4111,1.3262
2019-06-25 12:00:00,1.3761,1.6415,1.794,1.3761
2019-06-25 16:00:00,1.6476,1.79,1.79,1.6401
2019-06-25 20:00:00,1.79,1.5226,1.8996,1.5
2019-06-26 00:00:00,1.5408,1.6657,1.6911,1.5047
2019-06-26 04:00:00,1.6686,1.8278,1.8353,1.6686
2019-06-26 08:00:00,1.8171,1.7244,1.8773,1.678
2019-06-26 12:00:00,1.7343,1.6406,1.7843,1.6091
2019-06-26 16:00:00,1.6479,1.5665,1.6562,1.52
2019-06-26 20:00:00,1.5597,1.5921,1.6515,1.4866
2019-06-27 00:00:00,1.5921,1.5382,1.595,1.5102
2019-06-27 04:00:00,1.5381,1.5213,1.548,1.4417
2019-06-27 08:00:00,1.5312,1.4505,1.5468,1.4215
2019-06-27 12:00:00,1.4575,1.4861,1.4947,1.4089
