Date,Open,Close,High,Low
2023-06-25 16:00:00,5.878,5.856,5.916,5.834
2023-06-25 20:00:00,5.874,5.866,5.89,5.838
2023-06-26 00:00:00,5.869,5.74,5.872,5.672
2023-06-26 04:00:00,5.739,5.722,5.81,5.691
2023-06-26 08:00:00,5.72,5.731,5.747,5.676
2023-06-26 12:00:00,5.726,5.766,5.829,5.709
2023-06-26 16:00:00,5.759,5.715,5.779,5.565
2023-06-26 20:00:00,5.717,5.78,5.806,5.614
2023-06-27 00:00:00,5.791,5.86,5.98,5.791
2023-06-27 04:00:00,5.863,5.837,5.885,5.784
2023-06-27 08:00:00,5.839,5.908,5.964,5.801
2023-06-27 12:00:00,5.911,5.819,5.926,5.813
2023-06-27 16:00:00,5.822,5.892,5.908,5.81
2023-06-27 20:00:00,5.892,5.895,5.939,5.875
2023-06-28 00:00:00,5.897,5.797,5.897,5.746
2023-06-28 04:00:00,5.793,5.675,5.793,5.654
2023-06-28 08:00:00,5.678,5.716,5.741,5.657
2023-06-28 12:00:00,5.716,5.732,5.742,5.652
2023-06-28 16:00:00,5.732,5.533,5.74,5.446
2023-06-28 20:00:00,5.527,5.534,5.59,5.496
2023-06-29 00:00:00,5.539,5.516,5.566,5.492
2023-06-29 04:00:00,5.521,5.563,5.568,5.52
2023-06-29 08:00:00,5.564,5.736,5.736,5.549
2023-06-29 12:00:00,5.737,5.639,5.753,5.611
2023-06-29 16:00:00,5.645,5.688,5.695,5.607
2023-06-29 20:00:00,5.687,5.652,5.696,5.605
2023-06-30 00:00:00,5.654,5.77,5.807,5.586
2023-06-30 04:00:00,5.788,5.774,5.878,5.718
2023-06-30 08:00:00,5.774,5.932,5.942,5.763
2023-06-30 12:00:00,5.937,5.721,5.996,5.454
2023-06-30 16:00:00,5.72,5.917,5.96,5.699
2023-06-30 20:00:00,5.911,5.957,5.961,5.863
2023-07-01 00:00:00,5.958,6.058,6.301,5.958
2023-07-01 04:00:00,6.072,6.196,6.244,5.964
2023-07-01 08:00:00,6.199,6.157,6.495,6.122
2023-07-01 12:00:00,6.165,6.445,6.489,6.164
2023-07-01 16:00:00,6.447,6.364,6.716,6.315
2023-07-01 20:00:00,6.373,6.491,6.553,6.349
2023-07-02 00:00:00,6.493,6.244,6.493,6.22
2023-07-02 04:00:00,6.245,6.29,6.315,6.22
2023-07-02 08:00:00,6.288,6.29,6.295,6.186
2023-07-02 12:00:00,6.28,6.235,6.314,6.14
2023-07-02 16:00:00,6.235,6.233,6.274,6.195
2023-07-02 20:00:00,6.233,6.28,6.285,6.182
2023-07-03 00:00:00,6.279,6.298,6.32,6.185
2023-07-03 04:00:00,6.291,6.23,6.301,6.189
2023-07-03 08:00:00,6.236,6.326,6.411,6.216
2023-07-03 12:00:00,6.319,6.282,6.319,6.232
2023-07-03 16:00:00,6.284,6.358,6.426,6.228
2023-07-03 20:00:00,6.365,6.322,6.369,6.277
2023-07-04 00:00:00,6.326,6.418,6.451,6.285
2023-07-04 04:00:00,6.415,6.264,6.424,6.256
2023-07-04 08:00:00,6.267,6.27,6.28,6.217
2023-07-04 12:00:00,6.276,6.203,6.284,6.174
2023-07-04 16:00:00,6.211,6.146,6.256,6.099
2023-07-04 20:00:00,6.148,6.148,6.201,6.143
2023-07-05 00:00:00,6.149,6.21,6.214,6.129
2023-07-05 04:00:00,6.212,6.233,6.243,6.192
2023-07-05 08:00:00,6.233,5.98,6.233,5.896
2023-07-05 12:00:00,5.979,5.92,6.025,5.865
2023-07-05 16:00:00,5.923,5.922,5.978,5.908
2023-07-05 20:00:00,5.907,5.963,5.963,5.889
2023-07-06 00:00:00,5.943,6.003,6.004,5.915
2023-07-06 04:00:00,5.997,6.066,6.086,5.964
2023-07-06 08:00:00,6.064,6.029,6.173,5.998
2023-07-06 12:00:00,6.031,5.979,6.1,5.758
2023-07-06 16:00:00,5.964,5.835,5.964,5.809
2023-07-06 20:00:00,5.86,5.792,5.887,5.788
2023-07-07 00:00:00,5.784,5.884,5.89,5.724
2023-07-07 04:00:00,5.884,5.882,5.917,5.833
2023-07-07 08:00:00,5.866,5.914,5.955,5.863
2023-07-07 12:00:00,5.922,5.96,6.011,5.884
2023-07-07 16:00:00,5.958,5.92,5.967,5.881
2023-07-07 20:00:00,5.924,5.955,5.958,5.923
2023-07-08 00:00:00,5.957,5.93,5.97,5.929
2023-07-08 04:00:00,5.928,5.885,5.94,5.848
2023-07-08 08:00:00,5.885,5.904,5.92,5.869
2023-07-08 12:00:00,5.892,5.841,5.892,5.819
2023-07-08 16:00:00,5.821,5.789,5.849,5.769
2023-07-08 20:00:00,5.777,5.853,5.853,5.69
2023-07-09 00:00:00,5.854,5.897,5.927,5.842
2023-07-09 04:00:00,5.893,5.837,5.895,5.814
2023-07-09 08:00:00,5.843,5.823,5.872,5.819
2023-07-09 12:00:00,5.821,5.814,5.867,5.791
2023-07-09 16:00:00,5.818,5.793,5.833,5.793
2023-07-09 20:00:00,5.793,5.772,5.828,5.772
2023-07-10 00:00:00,5.789,5.774,5.805,5.65
2023-07-10 04:00:00,5.769,5.724,5.777,5.709
2023-07-10 08:00:00,5.714,5.747,5.755,5.676
2023-07-10 12:00:00,5.751,5.804,5.811,5.745
2023-07-10 16:00:00,5.787,5.865,5.865,5.704
2023-07-10 20:00:00,5.865,5.779,5.907,5.744
2023-07-11 00:00:00,5.793,5.819,5.834,5.749
2023-07-11 04:00:00,5.835,5.867,5.914,5.806
2023-07-11 08:00:00,5.867,5.837,5.867,5.817
2023-07-11 12:00:00,5.835,5.812,5.85,5.774
2023-07-11 16:00:00,5.813,5.821,5.825,5.79
2023-07-11 20:00:00,5.826,5.921,5.94,5.82
2023-07-12 00:00:00,5.928,5.944,5.991,5.909
2023-07-12 04:00:00,5.944,5.979,5.996,5.938
2023-07-12 08:00:00,5.986,5.958,5.986,5.952
2023-07-12 12:00:00,5.96,5.968,6.039,5.936
2023-07-12 16:00:00,5.98,5.885,6.036,5.877
2023-07-12 20:00:00,5.882,5.993,5.993,5.872
2023-07-13 00:00:00,5.993,5.921,6.002,5.909
2023-07-13 04:00:00,5.919,5.974,5.995,5.901
2023-07-13 08:00:00,5.969,6.173,6.174,5.969
2023-07-13 12:00:00,6.163,6.314,6.388,6.09
2023-07-13 16:00:00,6.326,6.656,6.821,6.325
2023-07-13 20:00:00,6.657,6.694,6.719,6.569
2023-07-14 00:00:00,6.715,6.631,6.891,6.609
2023-07-14 04:00:00,6.626,6.574,6.65,6.546
2023-07-14 08:00:00,6.574,6.602,6.641,6.516
2023-07-14 12:00:00,6.598,6.702,6.766,6.557
2023-07-14 16:00:00,6.712,6.216,6.76,6.193
2023-07-14 20:00:00,6.218,6.39,6.391,6.218
2023-07-15 00:00:00,6.393,6.279,6.393,6.243
2023-07-15 04:00:00,6.265,6.431,6.44,6.265
2023-07-15 08:00:00,6.434,6.397,6.46,6.387
2023-07-15 12:00:00,6.403,6.356,6.432,6.342
2023-07-15 16:00:00,6.347,6.374,6.388,6.296
2023-07-15 20:00:00,6.361,6.323,6.361,6.284
2023-07-16 00:00:00,6.326,6.237,6.35,6.174
2023-07-16 04:00:00,6.217,6.296,6.298,6.212
2023-07-16 08:00:00,6.276,6.282,6.325,6.264
2023-07-16 12:00:00,6.29,6.292,6.329,6.27
2023-07-16 16:00:00,6.289,6.236,6.34,6.235
2023-07-16 20:00:00,6.234,6.181,6.26,6.15
2023-07-17 00:00:00,6.196,6.324,6.532,6.189
2023-07-17 04:00:00,6.331,6.377,6.445,6.306
2023-07-17 08:00:00,6.37,6.251,6.383,6.161
2023-07-17 12:00:00,6.245,6.27,6.393,6.216
2023-07-17 16:00:00,6.273,6.247,6.304,6.151
2023-07-17 20:00:00,6.252,6.336,6.351,6.23
2023-07-18 00:00:00,6.342,6.37,6.496,6.336
2023-07-18 04:00:00,6.387,6.307,6.4,6.249
2023-07-18 08:00:00,6.301,6.203,6.348,6.202
2023-07-18 12:00:00,6.226,6.262,6.285,6.17
2023-07-18 16:00:00,6.274,6.226,6.28,6.171
2023-07-18 20:00:00,6.226,6.279,6.291,6.22
2023-07-19 00:00:00,6.267,6.369,6.422,6.263
2023-07-19 04:00:00,6.377,6.397,6.435,6.36
2023-07-19 08:00:00,6.385,6.376,6.437,6.347
2023-07-19 12:00:00,6.384,6.367,6.436,6.3
2023-07-19 16:00:00,6.365,6.422,6.44,6.34
2023-07-19 20:00:00,6.405,6.39,6.406,6.34
2023-07-20 00:00:00,6.389,6.376,6.435,6.351
2023-07-20 04:00:00,6.382,6.451,6.451,6.363
2023-07-20 08:00:00,6.446,6.553,6.557,6.446
2023-07-20 12:00:00,6.553,6.395,6.557,6.337
2023-07-20 16:00:00,6.408,6.415,6.43,6.342
2023-07-20 20:00:00,6.421,6.475,6.475,6.356
2023-07-21 00:00:00,6.469,6.538,6.546,6.397
2023-07-21 04:00:00,6.538,6.429,6.538,6.429
2023-07-21 08:00:00,6.433,6.442,6.495,6.415
2023-07-21 12:00:00,6.444,6.44,6.492,6.432
2023-07-21 16:00:00,6.439,6.394,6.477,6.378
2023-07-21 20:00:00,6.389,6.476,6.48,6.374
2023-07-22 00:00:00,6.48,6.5,6.519,6.467
2023-07-22 04:00:00,6.518,6.506,6.534,6.48
2023-07-22 08:00:00,6.521,6.443,6.536,6.437
2023-07-22 12:00:00,6.443,6.456,6.482,6.419
2023-07-22 16:00:00,6.454,6.451,6.501,6.411
2023-07-22 20:00:00,6.451,6.368,6.501,6.307
2023-07-23 00:00:00,6.368,6.386,6.392,6.297
2023-07-23 04:00:00,6.393,6.358,6.432,6.342
2023-07-23 08:00:00,6.359,6.383,6.4,6.348
2023-07-23 12:00:00,6.379,6.386,6.392,6.356
2023-07-23 16:00:00,6.394,6.466,6.527,6.394
2023-07-23 20:00:00,6.477,6.486,6.525,6.42
2023-07-24 00:00:00,6.482,6.403,6.559,6.403
2023-07-24 04:00:00,6.409,6.389,6.415,6.357
2023-07-24 08:00:00,6.388,6.165,6.392,6.068
2023-07-24 12:00:00,6.157,6.109,6.191,6.073
2023-07-24 16:00:00,6.112,6.122,6.129,6.082
2023-07-24 20:00:00,6.116,6.138,6.168,6.092
2023-07-25 00:00:00,6.141,6.053,6.141,6.037
2023-07-25 04:00:00,6.06,6.001,6.064,5.987
2023-07-25 08:00:00,6.009,6.036,6.073,5.993
2023-07-25 12:00:00,6.033,5.969,6.047,5.937
2023-07-25 16:00:00,5.967,5.978,6.027,5.958
2023-07-25 20:00:00,5.982,6.024,6.024,5.943
2023-07-26 00:00:00,6.027,5.992,6.038,5.912
2023-07-26 04:00:00,5.997,5.96,6.014,5.954
2023-07-26 08:00:00,5.965,5.953,5.99,5.921
2023-07-26 12:00:00,5.953,6.024,6.037,5.947
2023-07-26 16:00:00,6.037,6.066,6.088,5.946
2023-07-26 20:00:00,6.067,6.049,6.141,6.041
2023-07-27 00:00:00,6.068,6.093,6.111,6.026
2023-07-27 04:00:00,6.094,6.072,6.116,6.057
2023-07-27 08:00:00,6.064,6.078,6.14,6.064
2023-07-27 12:00:00,6.091,6.038,6.091,5.999
2023-07-27 16:00:00,6.043,6.02,6.08,5.974
2023-07-27 20:00:00,6.016,6.04,6.065,5.992
2023-07-28 00:00:00,6.042,6.074,6.113,6.036
2023-07-28 04:00:00,6.079,6.014,6.079,6.003
2023-07-28 08:00:00,6.01,6.037,6.066,5.996
2023-07-28 12:00:00,6.031,6.093,6.112,6.031
2023-07-28 16:00:00,6.08,6.091,6.094,6.043
2023-07-28 20:00:00,6.087,6.109,6.121,6.087
2023-07-29 00:00:00,6.091,6.092,6.122,6.08
2023-07-29 04:00:00,6.091,6.099,6.105,6.08
2023-07-29 08:00:00,6.103,6.086,6.139,6.079
2023-07-29 12:00:00,6.099,6.128,6.132,6.086
2023-07-29 16:00:00,6.128,6.224,6.313,6.112
2023-07-29 20:00:00,6.226,6.224,6.226,6.18
2023-07-30 00:00:00,6.222,6.295,6.405,6.222
2023-07-30 04:00:00,6.309,6.255,6.327,6.252
2023-07-30 08:00:00,6.251,6.184,6.251,6.169
2023-07-30 12:00:00,6.184,6.152,6.192,6.124
2023-07-30 16:00:00,6.149,6.03,6.192,5.985
2023-07-30 20:00:00,6.002,6.102,6.102,5.892
2023-07-31 00:00:00,6.097,6.121,6.164,6.077
2023-07-31 04:00:00,6.129,6.099,6.129,6.091
