Date,Open,Close,High,Low
2022-09-15 08:00:00,0.1663,0.4829,0.75,0.1663
2022-09-15 12:00:00,0.4829,0.3297,0.4886,0.3031
2022-09-15 16:00:00,0.3296,0.3067,0.36,0.3006
2022-09-15 20:00:00,0.3067,0.2357,0.3073,0.2337
2022-09-16 00:00:00,0.234,0.3225,0.3573,0.2255
2022-09-16 04:00:00,0.3224,0.3258,0.347,0.2585
2022-09-16 08:00:00,0.3256,0.2653,0.3256,0.2513
2022-09-16 12:00:00,0.2657,0.2511,0.2717,0.2381
2022-09-16 16:00:00,0.251,0.2365,0.2523,0.2339
2022-09-16 20:00:00,0.2365,0.28,0.28,0.235
2022-09-17 00:00:00,0.2801,0.2512,0.2888,0.242
2022-09-17 04:00:00,0.2513,0.2513,0.2569,0.2471
2022-09-17 08:00:00,0.2513,0.2489,0.2578,0.2454
2022-09-17 12:00:00,0.2491,0.2449,0.2492,0.2435
2022-09-17 16:00:00,0.2449,0.2478,0.2503,0.2435
2022-09-17 20:00:00,0.2474,0.2426,0.2474,0.2379
2022-09-18 00:00:00,0.2425,0.2366,0.2433,0.2361
2022-09-18 04:00:00,0.2365,0.2389,0.2404,0.2342
2022-09-18 08:00:00,0.2389,0.2403,0.2469,0.2371
2022-09-18 12:00:00,0.2406,0.2398,0.2435,0.2389
2022-09-18 16:00:00,0.24,0.2367,0.2442,0.2326
2022-09-18 20:00:00,0.2369,0.2233,0.2374,0.222
2022-09-19 00:00:00,0.2233,0.2197,0.2254,0.219
2022-09-19 04:00:00,0.22,0.221,0.2257,0.2145
2022-09-19 08:00:00,0.221,0.2214,0.2218,0.2186
2022-09-19 12:00:00,0.2214,0.2239,0.2256,0.2124
2022-09-19 16:00:00,0.2238,0.2211,0.2245,0.2201
2022-09-19 20:00:00,0.2212,0.2131,0.2212,0.2104
2022-09-20 00:00:00,0.2127,0.2148,0.218,0.2108
2022-09-20 04:00:00,0.216,0.2164,0.2169,0.2131
2022-09-20 08:00:00,0.2164,0.2429,0.2758,0.21
2022-09-20 12:00:00,0.2429,0.2181,0.2429,0.2141
2022-09-20 16:00:00,0.2175,0.2188,0.2256,0.2126
2022-09-20 20:00:00,0.2189,0.2186,0.2206,0.218
2022-09-21 00:00:00,0.2201,0.2259,0.271,0.211
2022-09-21 04:00:00,0.2259,0.2224,0.2265,0.2165
2022-09-21 08:00:00,0.2223,0.223,0.225,0.2211
2022-09-21 12:00:00,0.2227,0.2161,0.2239,0.2053
2022-09-21 16:00:00,0.2163,0.216,0.2178,0.2132
2022-09-21 20:00:00,0.2171,0.2157,0.2173,0.2123
2022-09-22 00:00:00,0.2155,0.2251,0.2256,0.2118
2022-09-22 04:00:00,0.2256,0.2254,0.2262,0.2221
2022-09-22 08:00:00,0.2254,0.2256,0.2299,0.2253
2022-09-22 12:00:00,0.2255,0.23,0.2313,0.2252
2022-09-22 16:00:00,0.23,0.23,0.2315,0.23
2022-09-22 20:00:00,0.23,0.2287,0.2305,0.2277
2022-09-23 00:00:00,0.2287,0.2279,0.2294,0.2277
2022-09-23 04:00:00,0.228,0.2285,0.23,0.2278
2022-09-23 08:00:00,0.228,0.2276,0.2329,0.2271
2022-09-23 12:00:00,0.2285,0.2256,0.2293,0.224
2022-09-23 16:00:00,0.2257,0.2259,0.228,0.2172
2022-09-23 20:00:00,0.2248,0.2244,0.2262,0.2225
2022-09-24 00:00:00,0.2246,0.2252,0.2254,0.2235
2022-09-24 04:00:00,0.2251,0.2254,0.2258,0.2233
2022-09-24 08:00:00,0.2249,0.2245,0.2259,0.2236
2022-09-24 12:00:00,0.2245,0.228,0.2336,0.2225
2022-09-24 16:00:00,0.228,0.2263,0.228,0.2253
2022-09-24 20:00:00,0.2262,0.2363,0.2396,0.2253
2022-09-25 00:00:00,0.2368,0.233,0.2374,0.2328
2022-09-25 04:00:00,0.2331,0.2308,0.2346,0.2298
2022-09-25 08:00:00,0.2317,0.246,0.2482,0.2296
2022-09-25 12:00:00,0.2451,0.2373,0.246,0.2308
2022-09-25 16:00:00,0.237,0.2319,0.2374,0.2304
2022-09-25 20:00:00,0.2317,0.2247,0.2326,0.2247
2022-09-26 00:00:00,0.2252,0.2221,0.2256,0.2211
2022-09-26 04:00:00,0.2221,0.2201,0.2224,0.22
2022-09-26 08:00:00,0.2201,0.2197,0.2224,0.2164
2022-09-26 12:00:00,0.2199,0.2195,0.2217,0.2188
2022-09-26 16:00:00,0.2198,0.2192,0.2208,0.218
2022-09-26 20:00:00,0.2192,0.2163,0.2195,0.2156
2022-09-27 00:00:00,0.2164,0.2168,0.2171,0.2163
2022-09-27 04:00:00,0.2168,0.2162,0.2176,0.2145
2022-09-27 08:00:00,0.2169,0.223,0.25,0.2162
2022-09-27 12:00:00,0.2238,0.2255,0.2278,0.223
2022-09-27 16:00:00,0.2264,0.2517,0.255,0.225
2022-09-27 20:00:00,0.2524,0.2408,0.268,0.2408
2022-09-28 00:00:00,0.2408,0.2345,0.2408,0.2281
2022-09-28 04:00:00,0.2349,0.2363,0.2367,0.2263
2022-09-28 08:00:00,0.2353,0.2398,0.2483,0.2341
2022-09-28 12:00:00,0.2392,0.233,0.2409,0.2303
2022-09-28 16:00:00,0.2327,0.2276,0.2335,0.225
2022-09-28 20:00:00,0.2275,0.2237,0.2287,0.2225
2022-09-29 00:00:00,0.2241,0.221,0.2278,0.2173
2022-09-29 04:00:00,0.2207,0.2203,0.2217,0.2202
2022-09-29 08:00:00,0.2203,0.2281,0.249,0.2202
2022-09-29 12:00:00,0.2279,0.2318,0.2327,0.2258
2022-09-29 16:00:00,0.2326,0.2323,0.2351,0.2318
2022-09-29 20:00:00,0.2327,0.2209,0.2327,0.2193
2022-09-30 00:00:00,0.2213,0.2206,0.225,0.2201
2022-09-30 04:00:00,0.2202,0.2225,0.223,0.22
2022-09-30 08:00:00,0.2223,0.2222,0.2237,0.2215
2022-09-30 12:00:00,0.2226,0.2241,0.2244,0.2207
2022-09-30 16:00:00,0.224,0.23,0.2311,0.2239
2022-09-30 20:00:00,0.2298,0.2237,0.2302,0.2228
2022-10-01 00:00:00,0.2239,0.223,0.2242,0.221
2022-10-01 04:00:00,0.2232,0.2235,0.2237,0.2222
2022-10-01 08:00:00,0.2228,0.2289,0.2349,0.2204
2022-10-01 12:00:00,0.2292,0.2277,0.2311,0.2264
2022-10-01 16:00:00,0.2274,0.2281,0.2292,0.2269
2022-10-01 20:00:00,0.228,0.2275,0.2282,0.2258
2022-10-02 00:00:00,0.2272,0.2298,0.2301,0.2265
2022-10-02 04:00:00,0.2295,0.2278,0.23,0.2272
2022-10-02 08:00:00,0.2282,0.2065,0.2285,0.186
2022-10-02 12:00:00,0.2062,0.2071,0.2074,0.1997
2022-10-02 16:00:00,0.206,0.2042,0.206,0.2017
2022-10-02 20:00:00,0.2044,0.2014,0.2045,0.2011
2022-10-03 00:00:00,0.2012,0.2023,0.2027,0.1952
2022-10-03 04:00:00,0.2023,0.202,0.2026,0.2013
2022-10-03 08:00:00,0.2017,0.1929,0.202,0.1922
2022-10-03 12:00:00,0.1932,0.1938,0.1945,0.1926
2022-10-03 16:00:00,0.1934,0.1914,0.1939,0.1871
2022-10-03 20:00:00,0.1916,0.191,0.1927,0.1909
2022-10-04 00:00:00,0.1916,0.1962,0.2004,0.1906
2022-10-04 04:00:00,0.1962,0.1933,0.1963,0.1926
2022-10-04 08:00:00,0.1937,0.1943,0.1948,0.1929
2022-10-04 12:00:00,0.1941,0.1935,0.2021,0.1924
2022-10-04 16:00:00,0.193,0.1935,0.1967,0.193
2022-10-04 20:00:00,0.1935,0.1976,0.1984,0.1929
2022-10-05 00:00:00,0.1976,0.2012,0.2019,0.1973
2022-10-05 04:00:00,0.2011,0.202,0.2029,0.2004
2022-10-05 08:00:00,0.2015,0.2031,0.2037,0.2012
2022-10-05 12:00:00,0.2033,0.2136,0.22,0.203
2022-10-05 16:00:00,0.2136,0.2011,0.2136,0.201
2022-10-05 20:00:00,0.2011,0.1923,0.2016,0.192
2022-10-06 00:00:00,0.1923,0.1911,0.1935,0.19
2022-10-06 04:00:00,0.1906,0.1904,0.191,0.19
2022-10-06 08:00:00,0.1905,0.1896,0.1914,0.1893
2022-10-06 12:00:00,0.1901,0.207,0.207,0.1886
2022-10-06 16:00:00,0.207,0.2053,0.2091,0.205
2022-10-06 20:00:00,0.2054,0.2053,0.2057,0.205
2022-10-07 00:00:00,0.205,0.2002,0.2058,0.2001
2022-10-07 04:00:00,0.2006,0.1977,0.2006,0.1976
2022-10-07 08:00:00,0.1976,0.1928,0.1986,0.1926
2022-10-07 12:00:00,0.1928,0.1939,0.195,0.1908
