Date,Open,Close,High,Low
2023-11-22 08:00:00,13.85,14.28,14.56,13.6
2023-11-22 12:00:00,14.27,14.13,14.42,14.02
2023-11-22 16:00:00,14.13,14.69,14.73,13.85
2023-11-22 20:00:00,14.58,14.64,14.94,14.53
2023-11-23 00:00:00,14.74,14.78,14.83,14.66
2023-11-23 04:00:00,14.69,14.53,14.69,14.53
2023-11-23 08:00:00,14.61,14.58,14.73,14.47
2023-11-23 12:00:00,14.58,14.52,14.71,14.46
2023-11-23 16:00:00,14.52,14.33,14.58,14.33
2023-11-23 20:00:00,14.42,14.38,14.49,14.24
2023-11-24 00:00:00,14.39,14.4,14.4,14.24
2023-11-24 04:00:00,14.42,14.41,14.46,14.32
2023-11-24 08:00:00,14.31,14.3,14.45,14.24
2023-11-24 12:00:00,14.34,14.51,14.51,14.3
2023-11-24 16:00:00,14.55,14.5,14.76,14.5
2023-11-24 20:00:00,14.47,14.4,14.57,14.36
2023-11-25 00:00:00,14.44,14.38,14.45,14.32
2023-11-25 04:00:00,14.38,14.57,14.82,14.38
2023-11-25 08:00:00,14.58,14.5,14.64,14.5
2023-11-25 12:00:00,14.47,14.38,14.49,14.38
2023-11-25 16:00:00,14.46,14.37,14.6,14.37
2023-11-25 20:00:00,14.44,14.3,14.59,14.3
2023-11-26 00:00:00,14.37,14.36,14.41,14.36
2023-11-26 04:00:00,14.35,14.3,14.38,14.3
2023-11-26 08:00:00,14.34,14.56,14.65,14.34
2023-11-26 12:00:00,14.57,14.57,14.66,14.51
2023-11-26 16:00:00,14.5,14.39,14.5,14.3
2023-11-26 20:00:00,14.41,14.36,14.46,14.29
2023-11-27 00:00:00,14.36,14.58,14.62,14.36
2023-11-27 04:00:00,14.6,14.0,14.6,14.0
2023-11-27 08:00:00,14.06,13.9,14.15,13.79
2023-11-27 12:00:00,13.82,13.52,13.9,13.47
2023-11-27 16:00:00,13.48,13.7,14.48,13.36
2023-11-27 20:00:00,13.64,13.87,13.92,13.57
2023-11-28 00:00:00,13.94,13.7,13.97,13.62
2023-11-28 04:00:00,13.68,13.5,13.68,13.36
2023-11-28 08:00:00,13.46,13.83,13.83,13.4
2023-11-28 12:00:00,13.76,13.65,14.14,13.54
2023-11-28 16:00:00,13.76,14.06,14.12,13.76
2023-11-28 20:00:00,13.98,13.94,14.12,13.79
2023-11-29 00:00:00,14.0,14.24,14.24,13.88
2023-11-29 04:00:00,14.23,14.24,14.39,14.13
2023-11-29 08:00:00,14.23,14.18,14.43,14.14
2023-11-29 12:00:00,14.18,14.4,14.4,14.16
2023-11-29 16:00:00,14.4,14.03,14.55,13.68
2023-11-29 20:00:00,14.12,14.3,14.39,14.12
2023-11-30 00:00:00,14.3,14.24,14.3,14.18
2023-11-30 04:00:00,14.18,14.38,14.38,14.14
2023-11-30 08:00:00,14.3,14.42,14.53,14.3
2023-11-30 12:00:00,14.5,14.25,14.6,14.25
