Date,Open,Close,High,Low
2020-08-18 00:00:00,2.1733,2.6727,2.88,2.0
2020-08-18 04:00:00,2.6727,2.4777,2.68,2.25
2020-08-18 08:00:00,2.4777,2.9752,3.15,2.397
2020-08-18 12:00:00,2.9752,3.0351,3.9631,2.8266
2020-08-18 16:00:00,3.025,3.8928,3.9,3.0
2020-08-18 20:00:00,3.8737,3.6999,4.0,3.5979
2020-08-19 00:00:00,3.6995,3.6099,3.95,3.5433
2020-08-19 04:00:00,3.6099,3.3494,3.6099,3.2
2020-08-19 08:00:00,3.3497,3.5275,3.6949,3.2901
2020-08-19 12:00:00,3.5103,3.5456,3.6949,3.3966
2020-08-19 16:00:00,3.5457,3.1955,3.591,3.12
2020-08-19 20:00:00,3.1955,3.3396,3.4,3.15
2020-08-20 00:00:00,3.3093,3.3138,3.3887,3.21
2020-08-20 04:00:00,3.3138,3.5,3.6269,3.3138
2020-08-20 08:00:00,3.5,3.4436,3.5999,3.27
2020-08-20 12:00:00,3.4436,3.85,3.95,3.3929
2020-08-20 16:00:00,3.8799,3.76,3.9864,3.6428
2020-08-20 20:00:00,3.76,3.6927,3.7857,3.6303
2020-08-21 00:00:00,3.6758,3.621,3.849,3.5231
2020-08-21 04:00:00,3.5929,3.6599,3.7999,3.5457
2020-08-21 08:00:00,3.6599,3.5,3.7726,3.4655
2020-08-21 12:00:00,3.5084,3.5408,3.7002,3.3607
2020-08-21 16:00:00,3.5408,3.3351,3.7,3.31
2020-08-21 20:00:00,3.3388,3.243,3.4082,3.1701
2020-08-22 00:00:00,3.243,3.2002,3.2833,2.8018
2020-08-22 04:00:00,3.1882,3.32,3.3512,3.0716
2020-08-22 08:00:00,3.32,2.96,3.361,2.912
2020-08-22 12:00:00,2.956,3.0711,3.2275,2.9143
2020-08-22 16:00:00,3.0711,3.1613,3.2441,3.001
2020-08-22 20:00:00,3.1613,3.1499,3.2028,2.9801
2020-08-23 00:00:00,3.15,3.1104,3.1999,3.0244
2020-08-23 04:00:00,3.1,3.0002,3.1822,2.9801
2020-08-23 08:00:00,3.0006,2.8372,3.1,2.8
2020-08-23 12:00:00,2.8372,2.8966,2.93,2.72
2020-08-23 16:00:00,2.9099,3.0087,3.0799,2.7799
2020-08-23 20:00:00,3.0087,3.0977,3.2,2.9975
2020-08-24 00:00:00,3.0831,2.9253,3.0831,2.86
2020-08-24 04:00:00,2.9248,3.035,3.08,2.8775
2020-08-24 08:00:00,3.035,2.9999,3.1294,2.8555
2020-08-24 12:00:00,2.9956,3.4144,3.45,2.981
2020-08-24 16:00:00,3.399,3.1684,3.4147,3.134
2020-08-24 20:00:00,3.1668,3.259,3.3093,3.0551
2020-08-25 00:00:00,3.259,3.0309,3.3337,3.01
2020-08-25 04:00:00,3.049,2.94,3.1871,2.91
2020-08-25 08:00:00,2.9399,2.95,3.0065,2.85
2020-08-25 12:00:00,2.9391,2.7798,2.95,2.71
2020-08-25 16:00:00,2.7798,2.77,2.8999,2.52
2020-08-25 20:00:00,2.7697,2.9234,3.0659,2.7003
2020-08-26 00:00:00,2.9221,2.7486,2.9503,2.7
2020-08-26 04:00:00,2.7486,2.7834,2.8078,2.6704
2020-08-26 08:00:00,2.7834,3.0666,3.25,2.6704
2020-08-26 12:00:00,3.1095,2.8518,3.1095,2.6
2020-08-26 16:00:00,2.852,2.9795,3.0827,2.75
2020-08-26 20:00:00,2.9937,2.8857,3.0904,2.8488
2020-08-27 00:00:00,2.8842,2.8189,2.9799,2.7989
2020-08-27 04:00:00,2.8255,2.7506,2.8485,2.7002
2020-08-27 08:00:00,2.7536,2.8717,3.0349,2.7244
2020-08-27 12:00:00,2.8806,2.9762,3.0093,2.75
2020-08-27 16:00:00,2.9762,2.8657,3.015,2.72
2020-08-27 20:00:00,2.8657,2.8452,2.87,2.7346
2020-08-28 00:00:00,2.8451,2.9513,2.993,2.8001
2020-08-28 04:00:00,2.9777,3.167,3.3469,2.9777
2020-08-28 08:00:00,3.1671,3.1252,3.2999,3.1
2020-08-28 12:00:00,3.1508,3.07,3.1562,3.0001
2020-08-28 16:00:00,3.0843,3.087,3.1027,3.0
2020-08-28 20:00:00,3.087,3.031,3.102,2.9002
2020-08-29 00:00:00,3.031,3.1929,3.2243,2.9369
2020-08-29 04:00:00,3.1929,3.2142,3.2759,3.0643
2020-08-29 08:00:00,3.214,3.2685,3.3,3.1001
2020-08-29 12:00:00,3.2686,3.6005,3.6844,3.2356
2020-08-29 16:00:00,3.6003,3.418,3.65,3.4
2020-08-29 20:00:00,3.418,3.615,3.7498,3.36
2020-08-30 00:00:00,3.615,4.2989,4.44,3.5664
2020-08-30 04:00:00,4.2989,4.1561,4.4999,3.9596
2020-08-30 08:00:00,4.1757,4.1247,4.3264,3.9506
2020-08-30 12:00:00,4.106,4.2401,4.3001,4.0407
2020-08-30 16:00:00,4.1942,4.2411,4.3793,4.17
2020-08-30 20:00:00,4.25,4.3555,4.365,4.1555
2020-08-31 00:00:00,4.3555,3.7699,4.46,3.7699
2020-08-31 04:00:00,3.77,3.5934,4.0214,3.55
2020-08-31 08:00:00,3.5997,3.9263,3.9677,3.5934
2020-08-31 12:00:00,3.9074,3.6876,3.9399,3.6501
2020-08-31 16:00:00,3.682,3.6092,3.8162,3.5487
2020-08-31 20:00:00,3.5997,3.5,3.648,3.425
2020-09-01 00:00:00,3.5,3.6734,3.836,3.4
2020-09-01 04:00:00,3.6566,3.4652,3.6826,3.4
2020-09-01 08:00:00,3.4656,3.4401,3.5585,3.3
2020-09-01 12:00:00,3.4401,3.3606,3.4983,3.2654
2020-09-01 16:00:00,3.3459,3.0701,3.3997,3.0
2020-09-01 20:00:00,3.0701,3.1179,3.2599,3.04
2020-09-02 00:00:00,3.1206,3.5001,3.57,3.11
2020-09-02 04:00:00,3.5026,3.4611,3.8412,3.4611
2020-09-02 08:00:00,3.4558,4.3998,4.77,3.4
2020-09-02 12:00:00,4.382,4.1632,4.92,3.85
2020-09-02 16:00:00,4.1632,4.2037,4.2041,3.71
2020-09-02 20:00:00,4.1836,4.2882,4.39,3.9414
2020-09-03 00:00:00,4.2685,3.9897,4.5323,3.9272
2020-09-03 04:00:00,4.0112,3.65,4.1021,3.6454
2020-09-03 08:00:00,3.6418,3.3295,3.7275,3.19
2020-09-03 12:00:00,3.3061,3.3001,3.7,3.1001
2020-09-03 16:00:00,3.3052,3.391,3.45,3.2
2020-09-03 20:00:00,3.4081,3.05,3.5877,2.91
2020-09-04 00:00:00,3.0523,2.9916,3.3565,2.9075
2020-09-04 04:00:00,2.9624,2.9104,3.1401,2.86
2020-09-04 08:00:00,2.9105,3.1237,3.2652,2.9105
2020-09-04 12:00:00,3.1296,2.8463,3.255,2.6547
2020-09-04 16:00:00,2.8461,2.9531,2.9973,2.7865
2020-09-04 20:00:00,2.9531,2.9231,3.0559,2.8244
2020-09-05 00:00:00,2.9232,2.8783,3.052,2.8245
2020-09-05 04:00:00,2.9068,2.8112,3.1171,2.787
2020-09-05 08:00:00,2.8147,2.1897,2.8463,2.011
2020-09-05 12:00:00,2.1897,2.2475,2.4398,2.0226
2020-09-05 16:00:00,2.2551,1.9232,2.3544,1.8081
2020-09-05 20:00:00,1.9227,2.1477,2.25,1.9126
