Date,Open,Close,High,Low
2021-09-22 08:00:00,1.2,4.6399,11.8,1.2
2021-09-22 12:00:00,4.64,4.507,4.899,4.085
2021-09-22 16:00:00,4.5118,4.8366,4.9499,4.2361
2021-09-22 20:00:00,4.8499,4.8833,6.1102,4.7421
2021-09-23 00:00:00,4.8833,4.92,5.2,4.8081
2021-09-23 04:00:00,4.9438,4.3411,4.9492,3.829
2021-09-23 08:00:00,4.3229,3.7334,4.3357,3.6415
2021-09-23 12:00:00,3.7166,3.2953,3.7726,3.055
2021-09-23 16:00:00,3.27,3.7726,4.0,3.0862
2021-09-23 20:00:00,3.772,4.1353,4.1478,3.7046
2021-09-24 00:00:00,4.1353,3.882,4.1353,3.7595
2021-09-24 04:00:00,3.8822,3.7555,3.9915,3.5
2021-09-24 08:00:00,3.7557,3.309,3.7557,3.2079
2021-09-24 12:00:00,3.3089,3.47,3.5101,3.2674
2021-09-24 16:00:00,3.4706,3.3875,3.4895,3.2788
2021-09-24 20:00:00,3.3775,3.2,3.3775,3.1624
2021-09-25 00:00:00,3.199,3.2747,3.3321,3.1903
2021-09-25 04:00:00,3.2747,3.2501,3.3458,3.25
2021-09-25 08:00:00,3.2702,3.3637,3.6091,3.25
2021-09-25 12:00:00,3.385,3.3589,3.4885,3.3589
2021-09-25 16:00:00,3.3589,3.2688,3.3815,3.2688
2021-09-25 20:00:00,3.27,3.3243,3.3527,3.2688
2021-09-26 00:00:00,3.2967,3.3875,3.3875,3.29
2021-09-26 04:00:00,3.3625,3.32,3.3875,3.32
2021-09-26 08:00:00,3.32,3.2842,3.3415,3.1928
2021-09-26 12:00:00,3.2842,3.2624,3.3079,3.2302
2021-09-26 16:00:00,3.2454,3.2522,3.2874,3.2213
2021-09-26 20:00:00,3.2508,3.2638,3.3237,3.2074
2021-09-27 00:00:00,3.2575,3.27,3.2871,3.1928
2021-09-27 04:00:00,3.2675,3.235,3.2842,3.1928
2021-09-27 08:00:00,3.247,3.2589,3.2639,3.2
2021-09-27 12:00:00,3.2557,3.3037,3.4335,3.2
2021-09-27 16:00:00,3.2981,3.1242,3.3135,3.0056
2021-09-27 20:00:00,3.132,3.2622,3.2871,3.1054
2021-09-28 00:00:00,3.2619,3.2528,3.267,3.1518
2021-09-28 04:00:00,3.2392,3.2604,3.2871,3.2318
2021-09-28 08:00:00,3.2539,3.223,3.2681,3.13
2021-09-28 12:00:00,3.2493,3.2558,3.2628,3.13
2021-09-28 16:00:00,3.2491,3.2782,3.3356,3.1541
2021-09-28 20:00:00,3.2751,3.2664,3.2871,3.1928
2021-09-29 00:00:00,3.2528,3.2452,3.2871,3.171
2021-09-29 04:00:00,3.2217,3.2615,3.2726,3.2216
2021-09-29 08:00:00,3.2399,3.3043,3.3115,3.1542
2021-09-29 12:00:00,3.3086,3.2536,3.3356,3.247
2021-09-29 16:00:00,3.2703,3.3043,3.3133,3.223
2021-09-29 20:00:00,3.3004,3.3186,3.4,3.217
2021-09-30 00:00:00,3.3015,3.4675,3.4675,3.284
2021-09-30 04:00:00,3.4677,3.5021,3.5618,3.412
2021-09-30 08:00:00,3.5088,3.9464,4.092,3.4836
2021-09-30 12:00:00,3.9464,3.6174,3.9464,3.5825
2021-09-30 16:00:00,3.6162,3.7039,3.715,3.5103
2021-09-30 20:00:00,3.7039,3.4841,3.704,3.3872
2021-10-01 00:00:00,3.465,3.4822,3.55,3.45
2021-10-01 04:00:00,3.4823,3.5125,3.6,3.482
2021-10-01 08:00:00,3.5031,3.6792,3.784,3.4634
2021-10-01 12:00:00,3.6752,3.3006,3.7007,3.2688
2021-10-01 16:00:00,3.3018,3.3467,3.4328,3.1928
2021-10-01 20:00:00,3.3488,3.25,3.3571,3.1982
2021-10-02 00:00:00,3.2526,3.2185,3.2863,3.1254
2021-10-02 04:00:00,3.1936,2.9789,3.2345,2.48
2021-10-02 08:00:00,2.9815,2.878,3.0122,2.7593
2021-10-02 12:00:00,2.878,3.0261,3.1343,2.838
2021-10-02 16:00:00,3.0374,3.005,3.077,2.8183
2021-10-02 20:00:00,3.0063,3.0648,3.0942,3.0056
2021-10-03 00:00:00,3.0551,3.0671,3.0693,2.9015
2021-10-03 04:00:00,3.0693,3.0356,3.0704,2.9804
2021-10-03 08:00:00,3.0486,2.9418,3.0695,2.91
2021-10-03 12:00:00,2.9374,3.0491,3.0577,2.9374
2021-10-03 16:00:00,3.0429,3.0316,3.0591,2.8881
2021-10-03 20:00:00,3.0105,3.0481,3.0706,2.9519
2021-10-04 00:00:00,3.0561,3.0288,3.0716,2.9934
2021-10-04 04:00:00,3.04,2.9532,3.0739,2.9255
2021-10-04 08:00:00,2.9465,2.9074,2.994,2.8859
2021-10-04 12:00:00,2.902,2.7749,2.9355,2.6616
2021-10-04 16:00:00,2.7657,2.7719,2.9555,2.5269
2021-10-04 20:00:00,2.7604,2.7842,2.8106,2.6994
2021-10-05 00:00:00,2.7758,2.9604,3.0112,2.5662
2021-10-05 04:00:00,2.9553,3.0457,3.2255,2.9162
2021-10-05 08:00:00,3.042,3.1079,3.354,3.0201
2021-10-05 12:00:00,3.116,3.076,3.1373,3.0394
2021-10-05 16:00:00,3.0775,2.9579,3.098,2.95
2021-10-05 20:00:00,2.95,3.0004,3.0203,2.91
2021-10-06 00:00:00,3.0004,2.9644,3.0213,2.9519
2021-10-06 04:00:00,2.9519,2.9139,3.0432,2.9062
2021-10-06 08:00:00,2.9159,2.8564,2.9311,2.85
2021-10-06 12:00:00,2.8637,2.8161,2.8686,2.7447
2021-10-06 16:00:00,2.8307,2.8806,2.8923,2.8281
2021-10-06 20:00:00,2.8829,2.8891,2.8892,2.8605
2021-10-07 00:00:00,2.8892,2.8641,2.9116,2.8605
2021-10-07 04:00:00,2.8689,2.8773,2.8912,2.8605
2021-10-07 08:00:00,2.8758,2.8532,2.8773,2.838
2021-10-07 12:00:00,2.8548,2.7847,2.9277,2.7747
2021-10-07 16:00:00,2.7747,2.7352,2.8199,2.6994
2021-10-07 20:00:00,2.7352,2.6853,2.7956,2.5662
2021-10-08 00:00:00,2.6894,2.6965,2.7015,2.6692
2021-10-08 04:00:00,2.6977,2.6364,2.7015,2.6218
2021-10-08 08:00:00,2.6284,2.6726,2.716,2.6225
2021-10-08 12:00:00,2.6549,2.6303,2.6981,2.6235
2021-10-08 16:00:00,2.6488,2.5925,2.6497,2.5925
2021-10-08 20:00:00,2.5895,2.7091,3.0132,2.5765
2021-10-09 00:00:00,2.6888,2.6684,2.7096,2.6611
2021-10-09 04:00:00,2.6681,2.7398,2.7745,2.6677
2021-10-09 08:00:00,2.7396,2.7555,2.7745,2.7097
2021-10-09 12:00:00,2.7565,2.7523,2.7956,2.7018
2021-10-09 16:00:00,2.7304,2.6472,2.7785,2.6218
2021-10-09 20:00:00,2.648,2.5978,2.6839,2.5925
2021-10-10 00:00:00,2.5974,2.6265,2.7136,2.5663
2021-10-10 04:00:00,2.641,2.5868,2.6754,2.565
2021-10-10 08:00:00,2.5761,2.612,2.6323,2.5754
2021-10-10 12:00:00,2.628,2.6115,2.6323,2.5925
2021-10-10 16:00:00,2.6124,2.5579,2.6464,2.5476
2021-10-10 20:00:00,2.553,2.5141,2.5719,2.5
2021-10-11 00:00:00,2.5004,2.4833,2.514,2.4764
2021-10-11 04:00:00,2.498,2.4984,2.5081,2.45
2021-10-11 08:00:00,2.4834,2.4521,2.5016,2.3902
2021-10-11 12:00:00,2.4375,2.4001,2.4722,2.3703
2021-10-11 16:00:00,2.3944,2.4387,2.4895,2.3916
2021-10-11 20:00:00,2.4397,2.4786,2.5221,2.427
2021-10-12 00:00:00,2.4764,2.4961,2.5036,2.4397
2021-10-12 04:00:00,2.5012,2.583,2.8001,2.4973
2021-10-12 08:00:00,2.5927,2.5858,2.6731,2.5742
2021-10-12 12:00:00,2.5829,2.5627,2.5991,2.5563
2021-10-12 16:00:00,2.5742,2.57,2.587,2.5476
2021-10-12 20:00:00,2.5656,2.6946,2.7258,2.5563
2021-10-13 00:00:00,2.6877,3.211,3.2132,2.6877
2021-10-13 04:00:00,3.211,3.1501,3.2123,3.1108
2021-10-13 08:00:00,3.1479,3.02,3.17,2.984
2021-10-13 12:00:00,3.004,2.7898,3.004,2.6884
2021-10-13 16:00:00,2.7956,2.9689,3.0029,2.7896
2021-10-13 20:00:00,2.9693,3.0516,3.1163,2.9521
2021-10-14 00:00:00,3.043,2.9412,3.0915,2.8733
2021-10-14 04:00:00,2.933,2.9756,2.9923,2.8548
2021-10-14 08:00:00,2.9646,2.8971,2.9686,2.8793
2021-10-14 12:00:00,2.8863,2.8279,2.909,2.7997
2021-10-14 16:00:00,2.8111,2.7571,2.8213,2.7312
2021-10-14 20:00:00,2.7449,2.8077,2.8146,2.7313
2021-10-15 00:00:00,2.8012,2.8194,2.831,2.7856
