Date,Open,Close,High,Low
2021-11-18 08:00:00,0.398,0.5148,0.594,0.398
2021-11-18 12:00:00,0.5148,0.5142,0.5324,0.4901
2021-11-18 16:00:00,0.5144,0.5092,0.52,0.494
2021-11-18 20:00:00,0.5092,0.5007,0.5174,0.491
2021-11-19 00:00:00,0.5003,0.4839,0.5112,0.4792
2021-11-19 04:00:00,0.4817,0.5,0.5102,0.478
2021-11-19 08:00:00,0.502,0.5096,0.5188,0.4928
2021-11-19 12:00:00,0.5097,0.5377,0.5446,0.505
2021-11-19 16:00:00,0.5379,0.5349,0.5467,0.5215
2021-11-19 20:00:00,0.5319,0.5397,0.5435,0.5304
2021-11-20 00:00:00,0.5422,0.54,0.5493,0.5334
2021-11-20 04:00:00,0.54,0.549,0.5491,0.5376
2021-11-20 08:00:00,0.5462,0.5672,0.5686,0.5449
2021-11-20 12:00:00,0.5687,0.5496,0.5894,0.546
2021-11-20 16:00:00,0.547,0.5743,0.5765,0.5382
2021-11-20 20:00:00,0.5744,0.578,0.5827,0.5695
2021-11-21 00:00:00,0.581,0.5566,0.5957,0.5544
2021-11-21 04:00:00,0.5555,0.5656,0.568,0.554
2021-11-21 08:00:00,0.5656,0.5652,0.5763,0.5596
2021-11-21 12:00:00,0.5678,0.5566,0.5701,0.5401
2021-11-21 16:00:00,0.5566,0.559,0.565,0.5452
2021-11-21 20:00:00,0.5617,0.5589,0.5628,0.5463
2021-11-22 00:00:00,0.557,0.5334,0.557,0.5334
2021-11-22 04:00:00,0.5334,0.5325,0.5375,0.5251
2021-11-22 08:00:00,0.5322,0.5319,0.5356,0.5276
2021-11-22 12:00:00,0.5288,0.5337,0.5397,0.5224
2021-11-22 16:00:00,0.5336,0.5242,0.5382,0.5238
2021-11-22 20:00:00,0.5241,0.5262,0.5284,0.5192
2021-11-23 00:00:00,0.5253,0.5225,0.5667,0.5225
2021-11-23 04:00:00,0.5232,0.5238,0.5278,0.5213
2021-11-23 08:00:00,0.5219,0.522,0.5313,0.5183
2021-11-23 12:00:00,0.522,0.5296,0.534,0.5207
2021-11-23 16:00:00,0.5327,0.5348,0.5348,0.5213
2021-11-23 20:00:00,0.532,0.5381,0.5385,0.5303
2021-11-24 00:00:00,0.535,0.5246,0.5567,0.5102
2021-11-24 04:00:00,0.5219,0.5267,0.5311,0.5197
2021-11-24 08:00:00,0.5266,0.525,0.53,0.5185
2021-11-24 12:00:00,0.5248,0.5214,0.5248,0.5118
2021-11-24 16:00:00,0.5192,0.5201,0.5223,0.5103
2021-11-24 20:00:00,0.517,0.526,0.5287,0.5075
2021-11-25 00:00:00,0.5229,0.5239,0.524,0.5163
2021-11-25 04:00:00,0.521,0.5239,0.524,0.5063
2021-11-25 08:00:00,0.521,0.536,0.5494,0.518
2021-11-25 12:00:00,0.536,0.5395,0.543,0.5281
2021-11-25 16:00:00,0.5397,0.5374,0.5472,0.5373
2021-11-25 20:00:00,0.541,0.557,0.557,0.5321
2021-11-26 00:00:00,0.557,0.5936,0.604,0.5357
2021-11-26 04:00:00,0.5931,0.6116,0.6702,0.5744
2021-11-26 08:00:00,0.611,0.6033,0.68,0.539
2021-11-26 12:00:00,0.604,0.7586,0.976,0.604
2021-11-26 16:00:00,0.7586,0.7723,0.7899,0.6976
2021-11-26 20:00:00,0.7723,0.7136,0.8033,0.6826
2021-11-27 00:00:00,0.7163,0.7192,0.7777,0.6457
2021-11-27 04:00:00,0.7187,0.7106,0.74,0.6687
2021-11-27 08:00:00,0.7105,0.7391,0.7479,0.6837
2021-11-27 12:00:00,0.7385,0.719,0.7552,0.7055
2021-11-27 16:00:00,0.7187,0.6889,0.7214,0.6704
2021-11-27 20:00:00,0.6889,0.699,0.71,0.68
2021-11-28 00:00:00,0.6967,0.7911,0.89,0.6882
2021-11-28 04:00:00,0.7919,0.7723,0.8263,0.7492
2021-11-28 08:00:00,0.773,0.7592,0.791,0.757
2021-11-28 12:00:00,0.76,0.7324,0.7664,0.7277
2021-11-28 16:00:00,0.7317,0.7425,0.749,0.712
2021-11-28 20:00:00,0.7425,0.7477,0.7729,0.7381
2021-11-29 00:00:00,0.7499,0.7682,0.7989,0.7346
2021-11-29 04:00:00,0.7683,0.7577,0.7736,0.7513
2021-11-29 08:00:00,0.7577,0.7588,0.7588,0.727
2021-11-29 12:00:00,0.7588,0.783,0.7882,0.7118
2021-11-29 16:00:00,0.7809,0.7719,0.7926,0.7533
2021-11-29 20:00:00,0.7742,0.7977,0.8004,0.7667
2021-11-30 00:00:00,0.7954,0.7362,0.7954,0.7324
2021-11-30 04:00:00,0.7385,0.7289,0.7448,0.72
2021-11-30 08:00:00,0.7299,0.7417,0.7483,0.7288
2021-11-30 12:00:00,0.7418,0.7268,0.7472,0.7149
2021-11-30 16:00:00,0.7267,0.7186,0.7296,0.7
2021-11-30 20:00:00,0.7207,0.7055,0.7212,0.6988
2021-12-01 00:00:00,0.7056,0.7549,0.7831,0.7056
2021-12-01 04:00:00,0.7549,0.7448,0.7603,0.7384
2021-12-01 08:00:00,0.7424,0.7248,0.7448,0.7186
