Date,Open,Close,High,Low
2021-09-09 08:00:00,7.22,9.958,10.9,7.22
2021-09-09 12:00:00,9.9374,9.483,10.1303,9.0692
2021-09-09 16:00:00,9.4836,9.6462,9.996,9.235
2021-09-09 20:00:00,9.612,9.738,9.7584,9.2501
2021-09-10 00:00:00,9.738,9.6317,9.9771,9.4533
2021-09-10 04:00:00,9.6744,9.3582,9.8508,9.258
2021-09-10 08:00:00,9.4016,9.4203,9.4983,9.1845
2021-09-10 12:00:00,9.4233,8.9042,9.5888,8.5664
2021-09-10 16:00:00,8.8921,8.8224,8.9496,8.569
2021-09-10 20:00:00,8.8224,8.5288,8.9284,8.1051
2021-09-11 00:00:00,8.5664,8.625,8.9704,8.5002
2021-09-11 04:00:00,8.6277,8.8266,9.0,8.5997
2021-09-11 08:00:00,8.8284,9.1514,9.2655,8.5636
2021-09-11 12:00:00,9.0914,9.1512,9.2794,8.6755
2021-09-11 16:00:00,9.1864,9.0306,9.2,8.9893
2021-09-11 20:00:00,9.03,8.975,9.2477,8.975
2021-09-12 00:00:00,9.0459,8.7905,9.1571,8.5328
2021-09-12 04:00:00,8.795,8.9,9.1642,8.525
2021-09-12 08:00:00,8.9045,9.2115,9.28,8.8432
2021-09-12 12:00:00,9.22,9.307,9.7484,9.1512
2021-09-12 16:00:00,9.358,9.3605,10.52,9.2606
2021-09-12 20:00:00,9.4167,9.405,9.9399,9.0323
2021-09-13 00:00:00,9.405,8.8147,9.4636,8.8147
2021-09-13 04:00:00,8.8029,8.6609,9.09,8.6268
2021-09-13 08:00:00,8.6564,8.6189,8.7222,8.5
2021-09-13 12:00:00,8.6548,8.5688,8.9907,8.3417
2021-09-13 16:00:00,8.5074,8.5938,8.6548,8.4004
2021-09-13 20:00:00,8.6081,9.0261,9.0261,8.5908
2021-09-14 00:00:00,8.9703,8.9268,9.049,8.7997
2021-09-14 04:00:00,8.9508,9.107,9.107,8.8555
2021-09-14 08:00:00,9.0321,9.14,9.1806,8.9812
2021-09-14 12:00:00,9.0799,9.1806,9.2744,8.9423
2021-09-14 16:00:00,9.1897,9.2367,9.488,9.1897
2021-09-14 20:00:00,9.2378,8.8497,9.2798,8.8042
2021-09-15 00:00:00,8.8525,8.9508,9.0123,8.8525
2021-09-15 04:00:00,8.9508,9.1479,9.1479,8.9163
2021-09-15 08:00:00,9.1512,9.4131,9.5172,9.1245
2021-09-15 12:00:00,9.4863,10.022,10.0743,9.4863
2021-09-15 16:00:00,9.9623,10.0201,10.1032,9.9099
2021-09-15 20:00:00,10.0782,10.0494,10.185,9.966
2021-09-16 00:00:00,10.0743,9.8339,10.3587,9.7269
2021-09-16 04:00:00,9.8427,9.91,10.6549,9.8427
2021-09-16 08:00:00,9.9619,10.0394,10.2765,9.9103
2021-09-16 12:00:00,10.0221,9.931,10.6392,9.77
2021-09-16 16:00:00,9.917,9.812,9.9771,9.7497
2021-09-16 20:00:00,9.7792,9.5772,9.7792,9.3324
2021-09-17 00:00:00,9.583,9.4949,9.6111,9.434
2021-09-17 04:00:00,9.512,9.392,9.5481,9.392
2021-09-17 08:00:00,9.3814,9.0,9.4953,8.8659
2021-09-17 12:00:00,8.93,9.1707,9.1707,8.8831
2021-09-17 16:00:00,9.1468,9.0684,9.2367,8.9555
2021-09-17 20:00:00,9.0684,9.014,9.1109,8.9001
2021-09-18 00:00:00,9.0198,9.1035,9.1035,8.8584
2021-09-18 04:00:00,9.0819,9.4633,9.5172,9.0819
2021-09-18 08:00:00,9.4719,9.2794,9.6575,9.1917
2021-09-18 12:00:00,9.3299,9.216,9.3299,9.1806
2021-09-18 16:00:00,9.182,8.9791,9.182,8.9662
2021-09-18 20:00:00,9.0022,9.0372,9.0372,8.8028
2021-09-19 00:00:00,8.9822,8.7976,8.9822,8.736
