Date,Open,Close,High,Low
2021-01-14 08:00:00,1.181,1.905,10.0,1.181
2021-01-14 12:00:00,1.914,1.947,2.465,1.721
2021-01-14 16:00:00,1.961,1.823,1.986,1.809
2021-01-14 20:00:00,1.823,1.794,1.923,1.79
2021-01-15 00:00:00,1.79,1.755,1.79,1.72
2021-01-15 04:00:00,1.755,1.847,1.847,1.712
2021-01-15 08:00:00,1.846,1.806,1.873,1.806
2021-01-15 12:00:00,1.806,1.818,1.845,1.79
2021-01-15 16:00:00,1.818,1.71,1.818,1.701
2021-01-15 20:00:00,1.723,1.66,1.723,1.635
2021-01-16 00:00:00,1.657,1.704,1.75,1.657
2021-01-16 04:00:00,1.7,1.71,1.735,1.7
2021-01-16 08:00:00,1.716,1.708,1.724,1.685
2021-01-16 12:00:00,1.704,1.699,1.737,1.698
2021-01-16 16:00:00,1.699,1.694,1.711,1.684
2021-01-16 20:00:00,1.69,1.692,1.698,1.684
2021-01-17 00:00:00,1.696,1.609,1.698,1.609
2021-01-17 04:00:00,1.681,1.681,1.825,1.585
2021-01-17 08:00:00,1.675,1.605,1.678,1.577
2021-01-17 12:00:00,1.613,1.534,1.613,1.522
2021-01-17 16:00:00,1.53,1.52,1.543,1.518
2021-01-17 20:00:00,1.52,1.51,1.534,1.509
2021-01-18 00:00:00,1.518,1.509,1.52,1.509
2021-01-18 04:00:00,1.518,1.513,1.518,1.509
2021-01-18 08:00:00,1.511,1.512,1.531,1.511
2021-01-18 12:00:00,1.524,1.499,1.533,1.49
2021-01-18 16:00:00,1.497,1.505,1.506,1.489
2021-01-18 20:00:00,1.505,1.494,1.509,1.49
2021-01-19 00:00:00,1.493,1.551,1.555,1.479
2021-01-19 04:00:00,1.555,1.441,1.558,1.433
2021-01-19 08:00:00,1.444,1.426,1.444,1.422
2021-01-19 12:00:00,1.424,1.417,1.433,1.411
2021-01-19 16:00:00,1.411,1.486,1.486,1.411
2021-01-19 20:00:00,1.486,1.482,1.495,1.473
2021-01-20 00:00:00,1.488,1.475,1.492,1.475
2021-01-20 04:00:00,1.475,1.473,1.476,1.473
2021-01-20 08:00:00,1.473,1.464,1.476,1.464
2021-01-20 12:00:00,1.476,1.5,1.509,1.464
2021-01-20 16:00:00,1.497,1.566,1.577,1.497
2021-01-20 20:00:00,1.566,1.565,1.575,1.551
2021-01-21 00:00:00,1.567,1.601,1.601,1.567
2021-01-21 04:00:00,1.601,1.687,1.71,1.601
2021-01-21 08:00:00,1.692,1.665,1.739,1.647
2021-01-21 12:00:00,1.657,1.685,1.687,1.651
2021-01-21 16:00:00,1.685,1.6,1.7,1.6
2021-01-21 20:00:00,1.615,1.61,1.622,1.6
2021-01-22 00:00:00,1.608,1.629,1.634,1.598
2021-01-22 04:00:00,1.633,1.617,1.634,1.61
2021-01-22 08:00:00,1.618,1.618,1.624,1.61
2021-01-22 12:00:00,1.62,1.628,1.636,1.61
2021-01-22 16:00:00,1.622,1.612,1.627,1.608
2021-01-22 20:00:00,1.615,1.618,1.624,1.612
2021-01-23 00:00:00,1.618,1.621,1.636,1.612
2021-01-23 04:00:00,1.618,1.624,1.632,1.613
2021-01-23 08:00:00,1.628,1.649,1.658,1.62
2021-01-23 12:00:00,1.649,1.675,1.685,1.649
2021-01-23 16:00:00,1.674,1.736,1.737,1.672
2021-01-23 20:00:00,1.737,1.763,1.811,1.736
2021-01-24 00:00:00,1.766,1.801,1.875,1.762
2021-01-24 04:00:00,1.812,1.828,1.831,1.801
2021-01-24 08:00:00,1.828,1.847,1.847,1.81
2021-01-24 12:00:00,1.844,1.9,1.903,1.838
2021-01-24 16:00:00,1.901,1.978,1.99,1.885
2021-01-24 20:00:00,1.985,2.006,2.017,1.959
2021-01-25 00:00:00,2.007,2.043,2.053,1.996
2021-01-25 04:00:00,2.041,2.064,2.068,2.029
2021-01-25 08:00:00,2.061,1.975,2.068,1.961
2021-01-25 12:00:00,1.97,1.927,1.975,1.791
2021-01-25 16:00:00,1.927,1.895,1.929,1.889
2021-01-25 20:00:00,1.894,1.874,1.915,1.873
2021-01-26 00:00:00,1.873,1.837,1.883,1.833
2021-01-26 04:00:00,1.838,1.839,1.86,1.833
2021-01-26 08:00:00,1.842,1.824,1.846,1.819
2021-01-26 12:00:00,1.821,1.795,1.942,1.786
2021-01-26 16:00:00,1.79,1.8,1.839,1.761
2021-01-26 20:00:00,1.807,1.753,1.808,1.669
2021-01-27 00:00:00,1.752,1.751,1.756,1.751
2021-01-27 04:00:00,1.753,1.685,1.769,1.685
2021-01-27 08:00:00,1.694,1.67,1.697,1.667
2021-01-27 12:00:00,1.674,1.614,1.686,1.6
2021-01-27 16:00:00,1.615,1.684,1.697,1.6
2021-01-27 20:00:00,1.688,1.685,1.71,1.678
2021-01-28 00:00:00,1.686,1.692,1.697,1.679
2021-01-28 04:00:00,1.697,1.701,1.705,1.671
2021-01-28 08:00:00,1.705,1.557,1.775,1.556
2021-01-28 12:00:00,1.556,1.527,1.568,1.516
2021-01-28 16:00:00,1.519,1.565,1.577,1.501
2021-01-28 20:00:00,1.568,1.536,1.579,1.532
2021-01-29 00:00:00,1.534,1.515,1.56,1.509
2021-01-29 04:00:00,1.515,1.501,1.52,1.501
2021-01-29 08:00:00,1.51,1.51,1.52,1.5
2021-01-29 12:00:00,1.51,1.467,1.52,1.453
2021-01-29 16:00:00,1.471,1.488,1.509,1.471
2021-01-29 20:00:00,1.489,1.485,1.499,1.477
2021-01-30 00:00:00,1.48,1.491,1.509,1.479
2021-01-30 04:00:00,1.493,1.489,1.504,1.487
2021-01-30 08:00:00,1.492,1.499,1.504,1.487
2021-01-30 12:00:00,1.501,1.525,1.532,1.495
2021-01-30 16:00:00,1.523,1.492,1.53,1.483
2021-01-30 20:00:00,1.487,1.481,1.498,1.455
2021-01-31 00:00:00,1.481,1.472,1.488,1.471
2021-01-31 04:00:00,1.471,1.474,1.482,1.465
2021-01-31 08:00:00,1.473,1.474,1.477,1.465
2021-01-31 12:00:00,1.472,1.473,1.477,1.47
2021-01-31 16:00:00,1.473,1.47,1.477,1.47
2021-01-31 20:00:00,1.473,1.484,1.503,1.47
2021-02-01 00:00:00,1.481,1.48,1.493,1.471
2021-02-01 04:00:00,1.477,1.463,1.487,1.46
2021-02-01 08:00:00,1.465,1.464,1.469,1.461
2021-02-01 12:00:00,1.463,1.44,1.467,1.432
2021-02-01 16:00:00,1.442,1.449,1.454,1.438
2021-02-01 20:00:00,1.449,1.446,1.455,1.438
2021-02-02 00:00:00,1.446,1.447,1.454,1.438
2021-02-02 04:00:00,1.452,1.447,1.455,1.44
2021-02-02 08:00:00,1.445,1.405,1.46,1.4
2021-02-02 12:00:00,1.409,1.401,1.414,1.4
2021-02-02 16:00:00,1.412,1.42,1.428,1.401
2021-02-02 20:00:00,1.419,1.421,1.433,1.417
2021-02-03 00:00:00,1.42,1.428,1.433,1.417
2021-02-03 04:00:00,1.425,1.414,1.433,1.406
2021-02-03 08:00:00,1.415,1.498,1.498,1.406
2021-02-03 12:00:00,1.493,1.505,1.52,1.472
2021-02-03 16:00:00,1.506,1.614,1.683,1.502
2021-02-03 20:00:00,1.605,2.019,2.054,1.605
2021-02-04 00:00:00,2.024,1.915,2.024,1.863
2021-02-04 04:00:00,1.919,2.146,2.245,1.915
2021-02-04 08:00:00,2.144,2.041,2.146,2.034
2021-02-04 12:00:00,2.04,2.043,2.068,2.016
2021-02-04 16:00:00,2.039,2.14,2.147,2.039
2021-02-04 20:00:00,2.143,2.163,2.165,2.131
2021-02-05 00:00:00,2.163,2.229,2.244,2.161
2021-02-05 04:00:00,2.235,2.235,2.839,2.206
2021-02-05 08:00:00,2.234,2.675,2.803,2.234
2021-02-05 12:00:00,2.684,2.768,2.775,2.672
2021-02-05 16:00:00,2.767,2.925,3.079,2.752
2021-02-05 20:00:00,2.932,2.979,3.009,2.921
2021-02-06 00:00:00,2.977,2.931,3.009,2.857
2021-02-06 04:00:00,2.913,2.893,2.943,2.879
2021-02-06 08:00:00,2.881,2.89,2.922,2.878
2021-02-06 12:00:00,2.89,2.842,2.899,2.791
2021-02-06 16:00:00,2.83,2.729,2.845,2.729
2021-02-06 20:00:00,2.729,2.84,2.854,2.729
2021-02-07 00:00:00,2.84,2.771,2.875,2.77
2021-02-07 04:00:00,2.77,2.9,2.919,2.77
2021-02-07 08:00:00,2.897,2.9,2.915,2.874
2021-02-07 12:00:00,2.875,2.919,2.925,2.875
2021-02-07 16:00:00,2.896,3.108,3.143,2.896
2021-02-07 20:00:00,3.13,3.166,3.381,2.911
2021-02-08 00:00:00,3.19,3.771,3.801,3.163
2021-02-08 04:00:00,3.771,3.855,3.885,3.742
2021-02-08 08:00:00,3.855,3.889,3.889,3.769
2021-02-08 12:00:00,3.889,3.826,3.914,3.769
2021-02-08 16:00:00,3.826,3.998,4.091,3.825
2021-02-08 20:00:00,3.999,3.937,3.999,3.88
2021-02-09 00:00:00,3.937,3.94,3.967,3.9
2021-02-09 04:00:00,3.94,4.118,4.118,3.94
2021-02-09 08:00:00,4.118,3.967,4.149,3.967
2021-02-09 12:00:00,4.021,4.117,4.117,3.967
2021-02-09 16:00:00,4.086,4.208,4.243,4.056
2021-02-09 20:00:00,4.2,4.208,4.273,4.154
2021-02-10 00:00:00,4.195,4.147,4.209,4.113
2021-02-10 04:00:00,4.147,4.116,4.239,4.112
2021-02-10 08:00:00,4.116,4.4,4.429,4.116
2021-02-10 12:00:00,4.4,4.298,4.427,4.298
2021-02-10 16:00:00,4.33,4.285,4.359,4.231
2021-02-10 20:00:00,4.288,4.171,4.298,4.17
2021-02-11 00:00:00,4.171,4.21,4.259,4.17
2021-02-11 04:00:00,4.204,3.866,4.204,3.831
2021-02-11 08:00:00,3.836,3.891,3.924,3.771
2021-02-11 12:00:00,3.834,3.732,3.906,3.691
2021-02-11 16:00:00,3.691,3.487,3.747,3.448
2021-02-11 20:00:00,3.487,3.553,3.553,3.448
2021-02-12 00:00:00,3.553,3.486,3.553,3.486
2021-02-12 04:00:00,3.475,3.396,3.475,3.368
2021-02-12 08:00:00,3.396,3.19,3.43,3.17
2021-02-12 12:00:00,3.186,3.068,3.19,3.064
2021-02-12 16:00:00,3.068,3.076,3.096,3.034
2021-02-12 20:00:00,3.053,3.27,3.287,3.053
2021-02-13 00:00:00,3.27,3.349,3.349,3.225
2021-02-13 04:00:00,3.349,3.405,3.411,3.314
2021-02-13 08:00:00,3.411,3.387,3.414,3.37
2021-02-13 12:00:00,3.387,3.263,3.387,3.238
2021-02-13 16:00:00,3.263,3.455,3.482,3.191
2021-02-13 20:00:00,3.455,3.514,3.514,3.43
2021-02-14 00:00:00,3.489,3.405,3.528,3.384
2021-02-14 04:00:00,3.421,3.436,3.474,3.41
2021-02-14 08:00:00,3.436,3.481,3.481,3.436
2021-02-14 12:00:00,3.455,3.666,3.666,3.429
2021-02-14 16:00:00,3.64,3.774,3.811,3.632
2021-02-14 20:00:00,3.785,3.885,3.939,3.769
2021-02-15 00:00:00,3.859,3.6,3.885,3.561
2021-02-15 04:00:00,3.573,3.52,3.573,3.481
2021-02-15 08:00:00,3.489,3.545,3.546,3.489
2021-02-15 12:00:00,3.545,3.7,3.708,3.539
2021-02-15 16:00:00,3.692,3.829,3.878,3.692
2021-02-15 20:00:00,3.827,3.85,3.877,3.791
2021-02-16 00:00:00,3.852,3.906,3.906,3.834
2021-02-16 04:00:00,3.889,4.02,4.026,3.889
2021-02-16 08:00:00,4.001,4.025,4.116,4.001
2021-02-16 12:00:00,4.025,4.303,4.482,4.024
2021-02-16 16:00:00,4.296,4.266,4.333,4.211
2021-02-16 20:00:00,4.243,4.402,4.405,4.236
2021-02-17 00:00:00,4.394,4.571,4.571,4.37
2021-02-17 04:00:00,4.552,4.716,4.744,4.55
2021-02-17 08:00:00,4.711,4.572,4.826,4.408
2021-02-17 12:00:00,4.571,4.72,4.738,4.497
2021-02-17 16:00:00,4.693,4.711,4.727,4.622
2021-02-17 20:00:00,4.711,4.715,4.75,4.645
2021-02-18 00:00:00,4.7,4.613,4.769,4.56
2021-02-18 04:00:00,4.62,4.565,4.641,4.551
2021-02-18 08:00:00,4.565,4.559,4.605,4.537
2021-02-18 12:00:00,4.557,4.87,4.889,4.503
2021-02-18 16:00:00,4.87,4.867,4.963,4.83
2021-02-18 20:00:00,4.878,4.931,4.937,4.815
2021-02-19 00:00:00,4.935,5.08,5.098,4.912
2021-02-19 04:00:00,5.063,5.202,5.202,5.011
2021-02-19 08:00:00,5.177,5.086,5.214,5.021
2021-02-19 12:00:00,5.076,5.169,5.201,5.021
2021-02-19 16:00:00,5.134,4.991,5.184,4.971
2021-02-19 20:00:00,4.99,5.1,5.129,4.86
2021-02-20 00:00:00,5.117,5.202,5.22,5.117
2021-02-20 04:00:00,5.18,5.2,5.274,5.167
2021-02-20 08:00:00,5.2,5.1,5.215,5.08
2021-02-20 12:00:00,5.09,4.907,5.137,4.864
