Date,Open,Close,High,Low
2021-06-03 08:00:00,3.48,3.897,4.937,3.48
2021-06-03 12:00:00,3.897,4.1023,4.12,3.864
2021-06-03 16:00:00,4.1103,4.1422,4.1889,4.0936
2021-06-03 20:00:00,4.1216,4.1422,4.2,4.09
2021-06-04 00:00:00,4.1216,3.9165,4.1216,3.8772
2021-06-04 04:00:00,3.9036,3.7098,3.9165,3.6535
2021-06-04 08:00:00,3.7098,3.5431,3.73,3.5255
2021-06-04 12:00:00,3.5431,3.6439,3.6439,3.5015
2021-06-04 16:00:00,3.638,3.6164,3.65,3.5787
2021-06-04 20:00:00,3.6344,3.5015,3.65,3.4956
2021-06-05 00:00:00,3.5015,3.4484,3.5159,3.4484
2021-06-05 04:00:00,3.4484,3.489,3.525,3.4333
2021-06-05 08:00:00,3.4853,3.387,3.531,3.387
2021-06-05 12:00:00,3.3862,3.2933,3.3862,3.2694
2021-06-05 16:00:00,3.2822,3.2882,3.3384,3.2549
2021-06-05 20:00:00,3.299,3.216,3.299,3.2001
2021-06-06 00:00:00,3.2083,3.3051,3.3289,3.2001
2021-06-06 04:00:00,3.3051,3.2883,3.3287,3.2827
2021-06-06 08:00:00,3.2929,3.2715,3.3008,3.2715
2021-06-06 12:00:00,3.2715,3.2656,3.2877,3.2544
2021-06-06 16:00:00,3.2515,3.2823,3.285,3.2396
2021-06-06 20:00:00,3.2662,3.2652,3.3104,3.2219
2021-06-07 00:00:00,3.2652,3.2659,3.2987,3.2494
2021-06-07 04:00:00,3.2823,3.2657,3.293,3.2274
2021-06-07 08:00:00,3.2657,3.2107,3.316,3.1785
2021-06-07 12:00:00,3.2107,3.062,3.2107,3.0534
2021-06-07 16:00:00,3.0773,3.1211,3.26,3.0621
2021-06-07 20:00:00,3.1211,3.046,3.1673,3.0308
2021-06-08 00:00:00,3.046,2.7726,3.0668,2.7396
2021-06-08 04:00:00,2.7686,2.775,2.8361,2.7099
2021-06-08 08:00:00,2.7922,2.8343,2.8361,2.7389
2021-06-08 12:00:00,2.836,2.7981,2.98,2.7674
2021-06-08 16:00:00,2.799,2.86,2.86,2.799
2021-06-08 20:00:00,2.8463,2.8804,2.8987,2.8367
2021-06-09 00:00:00,2.8804,2.8559,2.8804,2.8367
2021-06-09 04:00:00,2.8559,2.8951,2.9195,2.8367
2021-06-09 08:00:00,2.8951,2.7934,2.9287,2.7112
2021-06-09 12:00:00,2.7934,2.7799,2.8171,2.7253
2021-06-09 16:00:00,2.78,3.1944,3.3498,2.78
2021-06-09 20:00:00,3.1839,3.0881,3.4901,3.0
2021-06-10 00:00:00,3.102,3.036,3.1592,3.0315
2021-06-10 04:00:00,3.0412,2.88,3.0564,2.8463
2021-06-10 08:00:00,2.8657,2.864,2.9134,2.7799
2021-06-10 12:00:00,2.864,2.6637,2.9173,2.4416
2021-06-10 16:00:00,2.6601,2.5789,2.6863,2.5617
