Date,Open,Close,High,Low
2023-06-28 08:00:00,0.1,0.5216,12.9991,0.1
2023-06-28 12:00:00,0.5216,0.5468,0.5926,0.474
2023-06-28 16:00:00,0.5485,0.5221,0.5609,0.501
2023-06-28 20:00:00,0.5219,0.5219,0.5405,0.5066
2023-06-29 00:00:00,0.5221,0.5455,0.5815,0.5172
2023-06-29 04:00:00,0.5445,0.5422,0.5749,0.5353
2023-06-29 08:00:00,0.5425,0.4936,0.5425,0.4715
2023-06-29 12:00:00,0.4936,0.4603,0.5059,0.4354
2023-06-29 16:00:00,0.461,0.43,0.465,0.4193
2023-06-29 20:00:00,0.43,0.42,0.4348,0.4129
2023-06-30 00:00:00,0.4199,0.4339,0.45,0.4027
2023-06-30 04:00:00,0.4336,0.4016,0.4446,0.383
2023-06-30 08:00:00,0.3993,0.4018,0.4064,0.3848
2023-06-30 12:00:00,0.4019,0.41,0.4364,0.388
2023-06-30 16:00:00,0.4116,0.4292,0.4359,0.406
2023-06-30 20:00:00,0.4297,0.4087,0.4386,0.4025
2023-07-01 00:00:00,0.4086,0.4114,0.4239,0.392
2023-07-01 04:00:00,0.4119,0.4021,0.4146,0.397
2023-07-01 08:00:00,0.4035,0.4092,0.4182,0.4004
2023-07-01 12:00:00,0.4094,0.4343,0.4529,0.4091
2023-07-01 16:00:00,0.4356,0.4245,0.4372,0.4173
2023-07-01 20:00:00,0.4264,0.431,0.4393,0.4223
2023-07-02 00:00:00,0.433,0.407,0.4332,0.3874
2023-07-02 04:00:00,0.4076,0.4092,0.4152,0.4
2023-07-02 08:00:00,0.4092,0.4066,0.4104,0.4006
2023-07-02 12:00:00,0.4069,0.4045,0.4121,0.3987
2023-07-02 16:00:00,0.4046,0.408,0.408,0.4016
2023-07-02 20:00:00,0.4075,0.4101,0.4149,0.4027
2023-07-03 00:00:00,0.4114,0.4228,0.43,0.4114
2023-07-03 04:00:00,0.4228,0.44,0.448,0.4182
2023-07-03 08:00:00,0.4397,0.43,0.4522,0.4248
2023-07-03 12:00:00,0.4304,0.4273,0.4304,0.42
2023-07-03 16:00:00,0.4273,0.4276,0.4317,0.4218
2023-07-03 20:00:00,0.428,0.4322,0.44,0.4238
2023-07-04 00:00:00,0.432,0.4539,0.465,0.4267
2023-07-04 04:00:00,0.4538,0.4386,0.4541,0.431
2023-07-04 08:00:00,0.4374,0.4544,0.4586,0.437
2023-07-04 12:00:00,0.4545,0.4929,0.4993,0.4495
2023-07-04 16:00:00,0.4922,0.506,0.5644,0.4889
2023-07-04 20:00:00,0.5063,0.5084,0.5375,0.5039
2023-07-05 00:00:00,0.5081,0.4707,0.5081,0.4654
2023-07-05 04:00:00,0.4693,0.4613,0.4784,0.4605
2023-07-05 08:00:00,0.462,0.4184,0.4636,0.4113
2023-07-05 12:00:00,0.4181,0.4219,0.4235,0.4077
2023-07-05 16:00:00,0.4199,0.4186,0.4292,0.4153
2023-07-05 20:00:00,0.4186,0.4182,0.426,0.4096
2023-07-06 00:00:00,0.4175,0.4242,0.4256,0.41
2023-07-06 04:00:00,0.4232,0.4309,0.436,0.4132
2023-07-06 08:00:00,0.4311,0.4201,0.4385,0.4139
2023-07-06 12:00:00,0.418,0.4069,0.4187,0.3911
2023-07-06 16:00:00,0.4069,0.4123,0.4204,0.3996
2023-07-06 20:00:00,0.4145,0.4014,0.4168,0.4012
2023-07-07 00:00:00,0.401,0.406,0.406,0.3938
2023-07-07 04:00:00,0.4061,0.3964,0.4083,0.3963
2023-07-07 08:00:00,0.3991,0.401,0.4121,0.3972
2023-07-07 12:00:00,0.4008,0.4084,0.4201,0.3996
2023-07-07 16:00:00,0.4086,0.4046,0.4112,0.4046
2023-07-07 20:00:00,0.4069,0.412,0.4181,0.4069
2023-07-08 00:00:00,0.4114,0.4257,0.4313,0.4097
2023-07-08 04:00:00,0.425,0.4195,0.4294,0.4144
2023-07-08 08:00:00,0.4206,0.4222,0.4364,0.418
2023-07-08 12:00:00,0.4223,0.421,0.4285,0.4144
2023-07-08 16:00:00,0.4217,0.4112,0.4244,0.4083
2023-07-08 20:00:00,0.4126,0.4217,0.4237,0.4111
2023-07-09 00:00:00,0.4224,0.4285,0.4375,0.4168
2023-07-09 04:00:00,0.4302,0.4186,0.432,0.4168
2023-07-09 08:00:00,0.4177,0.4144,0.4204,0.4112
2023-07-09 12:00:00,0.4144,0.4136,0.4185,0.4046
2023-07-09 16:00:00,0.4144,0.4124,0.4157,0.4101
2023-07-09 20:00:00,0.4138,0.4098,0.418,0.4071
2023-07-10 00:00:00,0.4101,0.398,0.4108,0.3917
2023-07-10 04:00:00,0.3981,0.3956,0.4004,0.3933
2023-07-10 08:00:00,0.3956,0.3662,0.3959,0.3589
2023-07-10 12:00:00,0.3677,0.3719,0.3737,0.3637
2023-07-10 16:00:00,0.373,0.375,0.3758,0.3683
2023-07-10 20:00:00,0.3751,0.3705,0.3787,0.3673
2023-07-11 00:00:00,0.3688,0.3651,0.369,0.3514
2023-07-11 04:00:00,0.3651,0.3623,0.3662,0.3598
2023-07-11 08:00:00,0.3625,0.3591,0.3635,0.3561
2023-07-11 12:00:00,0.3597,0.3555,0.3597,0.352
2023-07-11 16:00:00,0.3552,0.3561,0.3614,0.3514
2023-07-11 20:00:00,0.3575,0.3585,0.3585,0.3522
2023-07-12 00:00:00,0.3573,0.3559,0.3598,0.3516
2023-07-12 04:00:00,0.3558,0.355,0.3648,0.3546
2023-07-12 08:00:00,0.355,0.3563,0.362,0.3536
2023-07-12 12:00:00,0.3563,0.3556,0.3655,0.354
2023-07-12 16:00:00,0.3577,0.3338,0.3604,0.3308
2023-07-12 20:00:00,0.3347,0.3444,0.3455,0.3335
2023-07-13 00:00:00,0.3439,0.3454,0.3594,0.3402
2023-07-13 04:00:00,0.3457,0.3407,0.354,0.3403
2023-07-13 08:00:00,0.341,0.3442,0.347,0.3368
2023-07-13 12:00:00,0.3442,0.3577,0.3594,0.3415
2023-07-13 16:00:00,0.3579,0.3615,0.376,0.3568
2023-07-13 20:00:00,0.3625,0.3699,0.3753,0.3577
2023-07-14 00:00:00,0.3707,0.3763,0.384,0.366
2023-07-14 04:00:00,0.3772,0.3634,0.3772,0.3612
2023-07-14 08:00:00,0.3638,0.3695,0.3719,0.3618
2023-07-14 12:00:00,0.3705,0.3678,0.3705,0.3612
2023-07-14 16:00:00,0.3688,0.3592,0.3877,0.3494
2023-07-14 20:00:00,0.3608,0.3634,0.366,0.3524
2023-07-15 00:00:00,0.3656,0.3666,0.3821,0.3599
2023-07-15 04:00:00,0.3686,0.3723,0.3735,0.3613
2023-07-15 08:00:00,0.3721,0.3791,0.3869,0.3677
2023-07-15 12:00:00,0.3799,0.3689,0.3853,0.3666
2023-07-15 16:00:00,0.369,0.3698,0.3768,0.367
2023-07-15 20:00:00,0.3697,0.3661,0.371,0.3568
2023-07-16 00:00:00,0.367,0.3657,0.3745,0.3615
2023-07-16 04:00:00,0.3661,0.364,0.3677,0.3634
2023-07-16 08:00:00,0.3636,0.3598,0.366,0.3594
2023-07-16 12:00:00,0.3596,0.3573,0.3628,0.3573
2023-07-16 16:00:00,0.3575,0.3478,0.3583,0.3464
2023-07-16 20:00:00,0.3494,0.348,0.3504,0.3433
2023-07-17 00:00:00,0.3468,0.3522,0.3556,0.3429
2023-07-17 04:00:00,0.3532,0.3553,0.3578,0.3519
2023-07-17 08:00:00,0.3555,0.3509,0.3607,0.3408
2023-07-17 12:00:00,0.3507,0.3522,0.3575,0.3459
2023-07-17 16:00:00,0.3522,0.3479,0.3522,0.3421
2023-07-17 20:00:00,0.3496,0.3566,0.357,0.3478
2023-07-18 00:00:00,0.3571,0.3683,0.3734,0.3553
2023-07-18 04:00:00,0.3684,0.3612,0.382,0.361
2023-07-18 08:00:00,0.3614,0.3401,0.3627,0.3401
2023-07-18 12:00:00,0.34,0.3411,0.3448,0.3386
2023-07-18 16:00:00,0.3402,0.3284,0.3413,0.3276
2023-07-18 20:00:00,0.3297,0.337,0.3382,0.3283
2023-07-19 00:00:00,0.3362,0.339,0.3415,0.3341
2023-07-19 04:00:00,0.339,0.3388,0.345,0.3375
2023-07-19 08:00:00,0.3383,0.3349,0.3383,0.3285
2023-07-19 12:00:00,0.334,0.3286,0.3378,0.3253
2023-07-19 16:00:00,0.3295,0.3326,0.3339,0.329
2023-07-19 20:00:00,0.3308,0.3254,0.3312,0.3214
2023-07-20 00:00:00,0.3253,0.3255,0.3297,0.321
2023-07-20 04:00:00,0.3261,0.3304,0.3318,0.3259
2023-07-20 08:00:00,0.3316,0.3315,0.3347,0.3299
2023-07-20 12:00:00,0.3328,0.3259,0.3371,0.3231
2023-07-20 16:00:00,0.3274,0.3238,0.3276,0.3224
