Date,Open,Close,High,Low
2022-09-07 12:00:00,0.1,0.6887,0.89,0.1
2022-09-07 16:00:00,0.689,0.605,0.6992,0.5573
2022-09-07 20:00:00,0.605,0.5474,0.6264,0.5
2022-09-08 00:00:00,0.544,0.6291,0.73,0.5292
2022-09-08 04:00:00,0.6294,0.5993,0.6649,0.599
2022-09-08 08:00:00,0.5999,0.6214,0.6399,0.57
2022-09-08 12:00:00,0.6215,0.5828,0.6312,0.553
2022-09-08 16:00:00,0.5825,0.5453,0.59,0.512
2022-09-08 20:00:00,0.547,0.5349,0.5695,0.5265
2022-09-09 00:00:00,0.5351,0.595,0.625,0.515
2022-09-09 04:00:00,0.5947,0.6603,0.669,0.536
2022-09-09 08:00:00,0.66,0.6294,0.6999,0.6289
2022-09-09 12:00:00,0.629,0.6127,0.6392,0.6001
2022-09-09 16:00:00,0.6124,0.6108,0.6202,0.601
2022-09-09 20:00:00,0.611,0.626,0.6349,0.6
2022-09-10 00:00:00,0.6257,0.6373,0.6433,0.6146
2022-09-10 04:00:00,0.6329,0.6198,0.6432,0.606
2022-09-10 08:00:00,0.6201,0.645,0.6535,0.6186
2022-09-10 12:00:00,0.6453,0.6073,0.6507,0.602
2022-09-10 16:00:00,0.6076,0.6096,0.6124,0.6001
2022-09-10 20:00:00,0.6094,0.6205,0.622,0.6088
2022-09-11 00:00:00,0.6207,0.613,0.631,0.6092
2022-09-11 04:00:00,0.6127,0.6115,0.6196,0.6092
2022-09-11 08:00:00,0.6112,0.6154,0.6198,0.6092
2022-09-11 12:00:00,0.6155,0.6135,0.6167,0.605
2022-09-11 16:00:00,0.6135,0.6062,0.6136,0.6
2022-09-11 20:00:00,0.606,0.6032,0.6121,0.6
2022-09-12 00:00:00,0.6035,0.5888,0.6059,0.5851
2022-09-12 04:00:00,0.5871,0.5505,0.5895,0.55
2022-09-12 08:00:00,0.5505,0.5429,0.6033,0.5201
2022-09-12 12:00:00,0.5427,0.536,0.5699,0.531
2022-09-12 16:00:00,0.5361,0.5325,0.5608,0.5297
2022-09-12 20:00:00,0.5323,0.5218,0.5894,0.5013
2022-09-13 00:00:00,0.5215,0.5211,0.529,0.5171
2022-09-13 04:00:00,0.5208,0.5091,0.5222,0.5024
2022-09-13 08:00:00,0.5089,0.5213,0.5283,0.5081
2022-09-13 12:00:00,0.5211,0.501,0.5283,0.5001
2022-09-13 16:00:00,0.5012,0.5216,0.5607,0.5004
