Date,Open,Close,High,Low
2021-09-07 08:00:00,32.84,46.689,47.115,32.84
2021-09-07 12:00:00,46.569,41.86,46.88,40.1
2021-09-07 16:00:00,41.9,42.719,44.137,40.464
2021-09-07 20:00:00,42.729,42.408,43.696,41.796
2021-09-08 00:00:00,42.323,41.644,42.832,41.0
2021-09-08 04:00:00,41.612,38.364,42.445,38.268
2021-09-08 08:00:00,38.268,40.342,40.347,37.537
2021-09-08 12:00:00,40.361,40.429,40.862,39.743
2021-09-08 16:00:00,40.49,41.718,41.721,40.489
2021-09-08 20:00:00,41.436,41.271,42.072,40.986
2021-09-09 00:00:00,41.287,41.25,42.0,40.122
2021-09-09 04:00:00,41.289,42.443,42.721,41.271
2021-09-09 08:00:00,42.422,42.079,42.701,41.784
2021-09-09 12:00:00,42.273,41.828,42.5,41.0
2021-09-09 16:00:00,41.856,41.0,42.134,40.797
2021-09-09 20:00:00,41.028,41.124,41.568,39.913
2021-09-10 00:00:00,41.178,43.632,44.128,41.178
2021-09-10 04:00:00,43.476,46.39,51.15,43.305
2021-09-10 08:00:00,46.491,51.551,59.238,45.99
2021-09-10 12:00:00,51.296,48.305,52.334,46.082
2021-09-10 16:00:00,48.305,50.887,54.228,47.916
2021-09-10 20:00:00,50.89,51.467,52.087,47.471
2021-09-11 00:00:00,51.417,49.634,53.36,49.205
2021-09-11 04:00:00,49.639,47.77,51.417,47.465
2021-09-11 08:00:00,47.851,47.24,48.02,46.866
2021-09-11 12:00:00,47.101,47.053,47.61,46.27
2021-09-11 16:00:00,47.053,48.009,48.398,46.998
2021-09-11 20:00:00,47.842,47.313,47.842,46.791
2021-09-12 00:00:00,47.274,46.191,47.719,44.483
2021-09-12 04:00:00,46.318,45.989,46.493,45.429
2021-09-12 08:00:00,45.994,46.757,46.931,45.994
2021-09-12 12:00:00,46.723,46.386,47.449,40.357
2021-09-12 16:00:00,46.097,45.746,46.144,45.276
2021-09-12 20:00:00,45.774,45.746,46.191,44.347
2021-09-13 00:00:00,45.619,43.468,45.858,43.468
2021-09-13 04:00:00,43.407,43.778,44.111,43.236
2021-09-13 08:00:00,43.631,43.14,43.631,42.339
2021-09-13 12:00:00,43.21,43.019,44.244,42.125
2021-09-13 16:00:00,42.751,43.315,43.315,42.674
2021-09-13 20:00:00,43.315,43.21,43.638,43.14
2021-09-14 00:00:00,43.21,43.613,44.742,43.14
2021-09-14 04:00:00,43.941,43.953,44.271,43.407
2021-09-14 08:00:00,44.161,43.704,44.208,43.58
2021-09-14 12:00:00,43.94,43.72,44.306,43.21
2021-09-14 16:00:00,44.08,43.386,44.208,43.386
2021-09-14 20:00:00,43.275,43.515,43.604,42.99
2021-09-15 00:00:00,43.673,44.17,44.263,43.519
2021-09-15 04:00:00,43.952,44.339,44.339,43.707
2021-09-15 08:00:00,44.339,45.032,45.141,44.339
2021-09-15 12:00:00,45.141,45.31,45.686,44.911
2021-09-15 16:00:00,45.503,45.033,45.503,45.0
2021-09-15 20:00:00,45.276,45.009,45.276,45.009
2021-09-16 00:00:00,45.276,44.796,45.38,44.719
2021-09-16 04:00:00,45.009,46.208,46.26,45.009
2021-09-16 08:00:00,45.929,44.658,45.929,44.475
2021-09-16 12:00:00,44.86,45.109,45.696,44.522
2021-09-16 16:00:00,44.914,45.276,45.543,44.654
2021-09-16 20:00:00,45.159,43.892,45.159,43.85
2021-09-17 00:00:00,44.185,44.111,44.387,43.588
2021-09-17 04:00:00,43.962,43.972,44.424,43.716
2021-09-17 08:00:00,44.101,42.462,44.127,42.462
2021-09-17 12:00:00,42.628,43.415,43.416,42.628
2021-09-17 16:00:00,43.14,43.229,43.527,42.99
2021-09-17 20:00:00,43.14,44.797,44.797,42.751
2021-09-18 00:00:00,44.866,45.326,45.326,44.343
2021-09-18 04:00:00,45.15,51.044,62.545,45.072
2021-09-18 08:00:00,51.116,49.451,52.72,49.355
2021-09-18 12:00:00,49.643,48.103,51.684,47.946
2021-09-18 16:00:00,47.855,46.686,47.893,46.308
2021-09-18 20:00:00,46.611,46.194,46.611,44.97
2021-09-19 00:00:00,46.192,46.281,46.281,45.5
2021-09-19 04:00:00,46.245,46.201,47.2,45.926
2021-09-19 08:00:00,46.277,44.907,46.587,44.902
2021-09-19 12:00:00,45.141,45.228,45.803,45.075
2021-09-19 16:00:00,45.349,44.711,45.349,44.711
2021-09-19 20:00:00,44.841,44.818,45.089,44.539
2021-09-20 00:00:00,44.671,43.0,45.629,42.99
2021-09-20 04:00:00,43.0,42.785,44.424,42.2
2021-09-20 08:00:00,43.0,41.625,43.433,41.358
2021-09-20 12:00:00,41.519,41.44,41.827,40.343
2021-09-20 16:00:00,41.276,39.883,42.273,39.006
2021-09-20 20:00:00,39.909,38.956,40.04,38.772
2021-09-21 00:00:00,38.927,39.22,39.89,37.187
2021-09-21 04:00:00,39.145,40.802,40.999,38.411
2021-09-21 08:00:00,40.72,40.75,42.339,40.28
2021-09-21 12:00:00,40.75,40.49,41.342,39.402
2021-09-21 16:00:00,40.48,38.772,40.6,38.571
2021-09-21 20:00:00,38.688,37.429,38.688,36.158
2021-09-22 00:00:00,37.493,42.66,46.716,36.601
2021-09-22 04:00:00,42.775,43.229,57.581,42.775
2021-09-22 08:00:00,43.335,45.898,46.127,41.632
2021-09-22 12:00:00,46.167,42.72,46.531,41.719
2021-09-22 16:00:00,42.99,41.948,43.527,41.15
2021-09-22 20:00:00,41.975,41.5,42.643,41.5
2021-09-23 00:00:00,41.454,43.707,44.027,41.129
2021-09-23 04:00:00,43.681,43.402,45.266,42.997
2021-09-23 08:00:00,43.488,42.109,43.863,42.109
2021-09-23 12:00:00,42.138,42.399,43.213,41.65
2021-09-23 16:00:00,42.541,43.074,43.702,42.362
2021-09-23 20:00:00,43.074,42.751,43.074,42.399
2021-09-24 00:00:00,42.643,42.4,42.99,41.876
2021-09-24 04:00:00,42.339,43.124,43.14,41.929
2021-09-24 08:00:00,42.88,39.547,43.318,38.796
2021-09-24 12:00:00,39.394,40.887,41.63,39.35
2021-09-24 16:00:00,40.908,41.315,41.794,40.654
2021-09-24 20:00:00,41.556,41.271,41.795,40.972
2021-09-25 00:00:00,41.239,41.815,41.815,40.941
2021-09-25 04:00:00,41.839,41.004,42.831,38.224
2021-09-25 08:00:00,40.8,42.118,42.319,39.992
