Date,Open,Close,High,Low
2021-11-18 12:00:00,0.06,0.7039,10.0,0.06
2021-11-18 16:00:00,0.72,0.811,0.875,0.65
2021-11-18 20:00:00,0.8145,0.8114,0.8855,0.763
2021-11-19 00:00:00,0.8152,0.684,0.83,0.66
2021-11-19 04:00:00,0.6821,0.7561,0.784,0.6601
2021-11-19 08:00:00,0.7561,0.712,0.802,0.7049
2021-11-19 12:00:00,0.7121,0.6121,0.7333,0.58
2021-11-19 16:00:00,0.6121,0.6198,0.6472,0.57
2021-11-19 20:00:00,0.62,0.6462,0.7,0.61
2021-11-20 00:00:00,0.6494,0.65,0.676,0.63
2021-11-20 04:00:00,0.6469,0.6597,0.68,0.64
2021-11-20 08:00:00,0.6596,0.6292,0.6596,0.61
2021-11-20 12:00:00,0.6291,0.601,0.638,0.57
2021-11-20 16:00:00,0.601,0.714,0.725,0.5788
2021-11-20 20:00:00,0.714,0.7175,0.768,0.685
2021-11-21 00:00:00,0.7175,1.1664,1.17,0.7
2021-11-21 04:00:00,1.1663,1.2001,1.2018,1.0
2021-11-21 08:00:00,1.2018,1.1624,1.2931,1.04
2021-11-21 12:00:00,1.1642,1.3799,1.5799,1.1151
2021-11-21 16:00:00,1.3778,1.27,1.475,1.16
2021-11-21 20:00:00,1.27,1.3974,1.5189,1.19
2021-11-22 00:00:00,1.3973,1.3261,1.433,1.2255
2021-11-22 04:00:00,1.3241,1.2336,1.344,1.2222
2021-11-22 08:00:00,1.2333,1.2259,1.289,1.1
2021-11-22 12:00:00,1.2202,1.192,1.256,1.1488
2021-11-22 16:00:00,1.192,1.2219,1.256,1.1172
2021-11-22 20:00:00,1.222,1.2626,1.3,1.204
2021-11-23 00:00:00,1.2626,1.2214,1.27,1.1773
2021-11-23 04:00:00,1.225,1.138,1.2334,1.0577
2021-11-23 08:00:00,1.138,1.0686,1.15,1.01
2021-11-23 12:00:00,1.0686,1.1411,1.1411,1.031
2021-11-23 16:00:00,1.1411,1.3442,1.4,1.1411
2021-11-23 20:00:00,1.3443,1.3751,1.4,1.3
2021-11-24 00:00:00,1.3751,1.4967,1.55,1.352
2021-11-24 04:00:00,1.4966,1.5102,1.532,1.3701
2021-11-24 08:00:00,1.5091,1.586,1.699,1.509
2021-11-24 12:00:00,1.586,1.7346,1.855,1.586
2021-11-24 16:00:00,1.7346,1.551,1.7399,1.5492
2021-11-24 20:00:00,1.558,1.7413,1.7897,1.558
2021-11-25 00:00:00,1.7436,1.63,1.84,1.5875
2021-11-25 04:00:00,1.6299,1.6214,1.6852,1.5121
2021-11-25 08:00:00,1.6211,1.9,1.9752,1.58
2021-11-25 12:00:00,1.899,1.95,2.137,1.84
2021-11-25 16:00:00,1.958,1.9773,2.0419,1.85
2021-11-25 20:00:00,1.968,1.971,2.0575,1.9229
2021-11-26 00:00:00,1.971,1.9085,1.9724,1.862
2021-11-26 04:00:00,1.912,1.9305,2.0466,1.9065
2021-11-26 08:00:00,1.9307,1.5902,1.9307,1.551
2021-11-26 12:00:00,1.5898,1.6965,1.7681,1.55
2021-11-26 16:00:00,1.6965,1.7419,1.75,1.62
2021-11-26 20:00:00,1.7401,1.805,1.968,1.6887
2021-11-27 00:00:00,1.813,1.9925,1.995,1.8
2021-11-27 04:00:00,1.9924,2.15,2.312,1.9851
2021-11-27 08:00:00,2.15,2.285,2.391,2.1094
2021-11-27 12:00:00,2.2854,2.19,2.332,2.1567
2021-11-27 16:00:00,2.19,2.3672,2.3672,2.18
2021-11-27 20:00:00,2.3672,2.3331,2.46,2.25
2021-11-28 00:00:00,2.333,2.4389,2.5744,2.324
2021-11-28 04:00:00,2.439,2.2176,2.4436,2.2027
2021-11-28 08:00:00,2.2176,2.262,2.3541,2.201
2021-11-28 12:00:00,2.26,2.1231,2.31,2.1
2021-11-28 16:00:00,2.1231,2.2565,2.2575,2.05
2021-11-28 20:00:00,2.2565,2.2631,2.285,2.1952
2021-11-29 00:00:00,2.263,2.352,2.4445,2.2406
2021-11-29 04:00:00,2.3521,2.1948,2.3625,2.173
2021-11-29 08:00:00,2.1943,2.1642,2.2529,2.12
2021-11-29 12:00:00,2.1642,2.0809,2.171,2.05
2021-11-29 16:00:00,2.086,2.0546,2.1497,2.0
2021-11-29 20:00:00,2.0546,2.0664,2.167,2.0452
2021-11-30 00:00:00,2.0612,1.8678,2.0943,1.7821
2021-11-30 04:00:00,1.8714,1.8753,2.0109,1.84
2021-11-30 08:00:00,1.8753,1.8097,1.9081,1.7809
2021-11-30 12:00:00,1.8031,1.8198,2.0,1.7843
2021-11-30 16:00:00,1.8199,1.8733,1.915,1.799
2021-11-30 20:00:00,1.8803,1.9135,2.0021,1.79
2021-12-01 00:00:00,1.9135,1.8499,1.94,1.8003
2021-12-01 04:00:00,1.85,1.8798,1.8919,1.81
2021-12-01 08:00:00,1.8801,1.784,1.9808,1.784
2021-12-01 12:00:00,1.79,1.669,1.792,1.605
2021-12-01 16:00:00,1.6702,1.6402,1.72,1.6128
2021-12-01 20:00:00,1.6435,1.6687,1.7312,1.609
2021-12-02 00:00:00,1.6676,1.5816,1.6751,1.575
2021-12-02 04:00:00,1.5801,1.5805,1.6148,1.575
2021-12-02 08:00:00,1.5834,1.5904,1.6888,1.575
2021-12-02 12:00:00,1.59,1.6088,1.6205,1.575
2021-12-02 16:00:00,1.6098,1.8099,1.9343,1.6001
2021-12-02 20:00:00,1.8096,1.7998,1.85,1.7
2021-12-03 00:00:00,1.7998,1.8459,1.8788,1.7726
2021-12-03 04:00:00,1.8481,1.8995,1.968,1.826
2021-12-03 08:00:00,1.8995,1.724,1.8999,1.7001
2021-12-03 12:00:00,1.7316,1.6307,1.7352,1.6003
2021-12-03 16:00:00,1.6307,1.5878,1.6635,1.575
2021-12-03 20:00:00,1.5878,1.623,1.6413,1.575
2021-12-04 00:00:00,1.6269,1.5501,1.6269,1.55
2021-12-04 04:00:00,1.5553,1.5027,1.5699,1.3036
2021-12-04 08:00:00,1.5056,1.389,1.5985,1.3452
2021-12-04 12:00:00,1.3926,1.3799,1.4672,1.354
2021-12-04 16:00:00,1.38,1.4504,1.545,1.3756
2021-12-04 20:00:00,1.4533,1.4801,1.5144,1.4377
2021-12-05 00:00:00,1.4837,1.4696,1.5441,1.4461
2021-12-05 04:00:00,1.4696,1.4499,1.4766,1.419
2021-12-05 08:00:00,1.4501,1.414,1.5172,1.3849
2021-12-05 12:00:00,1.4123,1.2254,1.4414,1.211
2021-12-05 16:00:00,1.2232,1.2958,1.4,1.222
2021-12-05 20:00:00,1.2984,1.2485,1.334,1.2185
2021-12-06 00:00:00,1.2485,1.1789,1.2648,1.082
2021-12-06 04:00:00,1.1785,1.0696,1.1999,1.05
2021-12-06 08:00:00,1.0696,0.9508,1.0925,0.83
2021-12-06 12:00:00,0.9551,0.9747,1.08,0.9292
2021-12-06 16:00:00,0.9747,1.036,1.073,0.95
2021-12-06 20:00:00,1.0361,1.199,1.243,1.0144
2021-12-07 00:00:00,1.2051,1.1195,1.2124,1.0912
2021-12-07 04:00:00,1.1193,1.13,1.16,1.1104
2021-12-07 08:00:00,1.13,1.206,1.25,1.1184
2021-12-07 12:00:00,1.206,1.1756,1.2399,1.1301
2021-12-07 16:00:00,1.1758,1.0985,1.1849,1.0713
2021-12-07 20:00:00,1.0948,1.034,1.0948,1.001
2021-12-08 00:00:00,1.0351,0.9725,1.055,0.95
2021-12-08 04:00:00,0.9777,1.0122,1.0431,0.9551
2021-12-08 08:00:00,1.0125,0.9723,1.0258,0.94
2021-12-08 12:00:00,0.9719,1.0434,1.055,0.92
2021-12-08 16:00:00,1.0435,1.0,1.0759,0.9571
2021-12-08 20:00:00,0.9999,1.0104,1.065,0.9779
2021-12-09 00:00:00,1.0104,0.9179,1.0199,0.8741
2021-12-09 04:00:00,0.9146,0.9408,0.9454,0.8784
2021-12-09 08:00:00,0.9369,1.144,1.2999,0.8501
2021-12-09 12:00:00,1.144,0.9456,1.17,0.8976
2021-12-09 16:00:00,0.9439,0.93,0.956,0.88
2021-12-09 20:00:00,0.9334,0.9067,0.95,0.868
2021-12-10 00:00:00,0.9067,0.9399,0.9559,0.89
2021-12-10 04:00:00,0.9396,0.922,0.9769,0.9106
2021-12-10 08:00:00,0.9233,0.9175,0.9237,0.87
2021-12-10 12:00:00,0.921,0.888,0.96,0.8808
2021-12-10 16:00:00,0.8896,0.8896,0.9128,0.87
2021-12-10 20:00:00,0.8896,0.852,0.8993,0.851
2021-12-11 00:00:00,0.852,0.8791,0.8879,0.8501
2021-12-11 04:00:00,0.8761,0.8894,0.9049,0.8716
2021-12-11 08:00:00,0.8895,0.9368,0.9499,0.88
2021-12-11 12:00:00,0.9368,0.9348,1.05,0.9348
2021-12-11 16:00:00,0.9363,0.9235,0.9736,0.9165
2021-12-11 20:00:00,0.9235,0.9359,0.96,0.9187
2021-12-12 00:00:00,0.9358,0.9257,0.946,0.8871
2021-12-12 04:00:00,0.9233,0.8798,0.9265,0.8786
2021-12-12 08:00:00,0.8832,0.8856,0.905,0.8818
2021-12-12 12:00:00,0.8819,0.9022,0.915,0.8655
2021-12-12 16:00:00,0.9065,0.9381,0.9461,0.8703
2021-12-12 20:00:00,0.9381,0.963,0.996,0.9005
2021-12-13 00:00:00,0.9634,0.9175,0.9634,0.9
2021-12-13 04:00:00,0.9141,0.8996,0.9306,0.8974
2021-12-13 08:00:00,0.8996,0.9082,0.92,0.8955
2021-12-13 12:00:00,0.9083,0.8212,0.939,0.82
2021-12-13 16:00:00,0.8212,0.8247,0.845,0.8
2021-12-13 20:00:00,0.8247,0.8304,0.8423,0.8
2021-12-14 00:00:00,0.8305,0.8063,0.8305,0.8
2021-12-14 04:00:00,0.8099,0.8103,0.815,0.8011
2021-12-14 08:00:00,0.8119,0.7905,0.8334,0.78
2021-12-14 12:00:00,0.7928,0.7897,0.8409,0.7801
2021-12-14 16:00:00,0.7892,0.7355,0.83,0.7253
2021-12-14 20:00:00,0.7321,0.7802,0.8,0.7253
2021-12-15 00:00:00,0.7804,0.7724,0.7963,0.77
2021-12-15 04:00:00,0.7725,0.8111,0.8182,0.77
2021-12-15 08:00:00,0.8084,0.7918,0.8199,0.78
2021-12-15 12:00:00,0.79,0.7708,0.7999,0.7701
2021-12-15 16:00:00,0.7709,0.8138,0.8223,0.7703
2021-12-15 20:00:00,0.8102,0.8371,0.868,0.8102
2021-12-16 00:00:00,0.8397,0.846,0.8642,0.8261
2021-12-16 04:00:00,0.846,0.8384,0.846,0.8239
2021-12-16 08:00:00,0.8392,0.8633,0.8958,0.8392
2021-12-16 12:00:00,0.8671,0.8596,0.8944,0.8531
2021-12-16 16:00:00,0.8566,0.8276,0.8599,0.8239
2021-12-16 20:00:00,0.824,0.8276,0.8512,0.8239
2021-12-17 00:00:00,0.8276,0.8291,0.838,0.8239
2021-12-17 04:00:00,0.826,0.791,0.839,0.791
2021-12-17 08:00:00,0.7943,0.7919,0.8052,0.7822
2021-12-17 12:00:00,0.7917,0.775,0.8,0.76
2021-12-17 16:00:00,0.775,0.823,0.84,0.774
2021-12-17 20:00:00,0.8234,0.8203,0.8499,0.8164
2021-12-18 00:00:00,0.8165,0.784,0.8314,0.7801
2021-12-18 04:00:00,0.784,0.793,0.8017,0.78
2021-12-18 08:00:00,0.795,0.81,0.8228,0.787
2021-12-18 12:00:00,0.8097,0.8021,0.8382,0.7901
2021-12-18 16:00:00,0.8,0.803,0.8179,0.7801
2021-12-18 20:00:00,0.8026,0.8247,0.83,0.7838
2021-12-19 00:00:00,0.8208,0.9049,0.9259,0.8208
2021-12-19 04:00:00,0.9047,0.9216,0.9833,0.9047
2021-12-19 08:00:00,0.9189,0.8855,0.926,0.87
2021-12-19 12:00:00,0.8851,0.9415,0.9719,0.8701
2021-12-19 16:00:00,0.9418,0.8998,0.9699,0.888
2021-12-19 20:00:00,0.9001,0.8959,0.9499,0.88
2021-12-20 00:00:00,0.8994,0.9252,0.9394,0.8801
2021-12-20 04:00:00,0.9252,0.8665,0.93,0.84
2021-12-20 08:00:00,0.8673,0.85,0.869,0.8172
2021-12-20 12:00:00,0.8526,0.844,0.8539,0.8202
2021-12-20 16:00:00,0.844,0.8379,0.8504,0.82
2021-12-20 20:00:00,0.8378,0.8701,0.8967,0.8317
2021-12-21 00:00:00,0.8697,0.8862,0.8994,0.8571
2021-12-21 04:00:00,0.8902,0.8674,0.8954,0.8512
2021-12-21 08:00:00,0.8713,0.8534,0.8792,0.8317
2021-12-21 12:00:00,0.8533,0.8412,0.88,0.8369
2021-12-21 16:00:00,0.8412,0.9198,0.97,0.8412
2021-12-21 20:00:00,0.9219,0.9336,0.976,0.905
2021-12-22 00:00:00,0.9336,0.9456,0.9512,0.9081
2021-12-22 04:00:00,0.942,0.974,0.974,0.9351
2021-12-22 08:00:00,0.9718,0.9897,1.0289,0.9567
2021-12-22 12:00:00,0.988,0.9759,0.9949,0.9329
2021-12-22 16:00:00,0.9729,1.0576,1.0626,0.9704
2021-12-22 20:00:00,1.0576,1.0182,1.0939,1.0
2021-12-23 00:00:00,1.0134,1.2179,1.348,1.0134
2021-12-23 04:00:00,1.2227,1.196,1.2377,1.1597
2021-12-23 08:00:00,1.1956,1.1861,1.1956,1.075
2021-12-23 12:00:00,1.1814,1.2284,1.266,1.1662
2021-12-23 16:00:00,1.2285,1.2105,1.2295,1.1755
2021-12-23 20:00:00,1.2054,1.208,1.2399,1.1971
2021-12-24 00:00:00,1.208,1.3517,1.53,1.202
2021-12-24 04:00:00,1.3517,1.3458,1.3644,1.3124
2021-12-24 08:00:00,1.3436,1.329,1.375,1.328
2021-12-24 12:00:00,1.329,1.2133,1.3328,1.2077
2021-12-24 16:00:00,1.2133,1.2595,1.3039,1.2026
2021-12-24 20:00:00,1.2595,1.2231,1.2633,1.2107
