Date,Open,Close,High,Low
2021-02-23 08:00:00,57.0,63.382,83.0,48.0
2021-02-23 12:00:00,63.382,72.9,74.0,56.558
2021-02-23 16:00:00,72.9,65.25,74.0,64.421
2021-02-23 20:00:00,65.25,69.2,72.0,60.61
2021-02-24 00:00:00,68.313,70.89,71.0,65.0
2021-02-24 04:00:00,70.879,70.89,70.89,69.631
2021-02-24 08:00:00,70.89,85.549,95.0,69.999
2021-02-24 12:00:00,84.415,66.72,85.257,66.72
2021-02-24 16:00:00,67.291,63.196,70.792,60.0
2021-02-24 20:00:00,64.045,58.976,69.998,56.002
2021-02-25 00:00:00,59.001,58.206,69.99,57.01
2021-02-25 04:00:00,58.206,60.671,63.93,57.227
2021-02-25 08:00:00,59.859,61.772,62.71,52.0
2021-02-25 12:00:00,61.732,58.736,63.339,56.877
2021-02-25 16:00:00,58.361,51.173,59.999,49.0
2021-02-25 20:00:00,50.979,54.02,57.0,50.0
2021-02-26 00:00:00,54.02,53.001,55.472,51.052
2021-02-26 04:00:00,53.0,43.0,54.449,42.8
2021-02-26 08:00:00,43.84,48.488,53.466,41.843
2021-02-26 12:00:00,47.845,47.575,51.295,46.0
2021-02-26 16:00:00,47.659,48.499,61.982,46.0
2021-02-26 20:00:00,47.324,46.33,48.496,44.242
2021-02-27 00:00:00,45.72,48.066,51.999,44.751
2021-02-27 04:00:00,48.066,45.539,48.71,45.092
2021-02-27 08:00:00,45.539,49.389,56.529,45.539
2021-02-27 12:00:00,49.32,48.124,50.371,46.001
2021-02-27 16:00:00,48.124,46.524,49.609,45.681
2021-02-27 20:00:00,46.0,45.974,47.362,45.0
2021-02-28 00:00:00,45.366,34.623,48.126,28.479
2021-02-28 04:00:00,33.177,36.333,40.0,32.619
2021-02-28 08:00:00,35.791,42.0,59.8,35.319
2021-02-28 12:00:00,42.0,37.864,42.0,37.864
2021-02-28 16:00:00,38.77,40.0,46.82,33.48
2021-02-28 20:00:00,39.92,40.071,44.542,37.728
2021-03-01 00:00:00,40.071,43.888,47.203,39.59
2021-03-01 04:00:00,43.375,46.241,50.0,42.587
2021-03-01 08:00:00,46.241,49.915,53.003,46.0
2021-03-01 12:00:00,50.218,43.208,50.218,41.5
2021-03-01 16:00:00,42.979,44.736,46.258,41.602
2021-03-01 20:00:00,44.21,44.775,45.569,42.611
2021-03-02 00:00:00,44.734,43.277,46.386,43.277
2021-03-02 04:00:00,43.442,39.194,44.658,38.0
2021-03-02 08:00:00,39.932,42.384,43.899,39.0
2021-03-02 12:00:00,42.384,40.1,44.039,39.0
2021-03-02 16:00:00,40.1,40.379,42.402,38.5
2021-03-02 20:00:00,40.595,40.281,48.0,40.0
2021-03-03 00:00:00,40.96,41.077,42.209,39.0
2021-03-03 04:00:00,41.077,41.333,44.27,40.231
2021-03-03 08:00:00,41.333,41.72,44.979,40.643
2021-03-03 12:00:00,41.72,40.062,43.39,39.55
2021-03-03 16:00:00,41.264,44.168,48.0,40.717
2021-03-03 20:00:00,44.428,43.127,44.428,39.601
2021-03-04 00:00:00,42.393,38.136,42.393,36.5
2021-03-04 04:00:00,37.568,40.0,43.127,37.568
2021-03-04 08:00:00,39.456,38.978,40.896,37.006
2021-03-04 12:00:00,38.245,41.635,42.433,34.89
2021-03-04 16:00:00,41.635,40.8,44.8,40.043
2021-03-04 20:00:00,40.697,39.001,42.009,37.5
2021-03-05 00:00:00,39.001,37.1,39.001,36.0
2021-03-05 04:00:00,37.095,37.373,38.239,36.319
2021-03-05 08:00:00,36.77,37.187,38.241,34.0
2021-03-05 12:00:00,36.725,37.48,39.295,35.0
2021-03-05 16:00:00,37.609,40.251,41.72,35.779
2021-03-05 20:00:00,39.592,40.188,41.556,36.608
2021-03-06 00:00:00,40.374,42.887,45.0,39.125
2021-03-06 04:00:00,43.06,41.944,43.06,38.5
2021-03-06 08:00:00,41.944,41.277,42.224,40.152
2021-03-06 12:00:00,41.277,43.906,47.349,39.491
2021-03-06 16:00:00,43.906,46.019,47.999,43.906
2021-03-06 20:00:00,46.0,53.645,55.98,45.5
2021-03-07 00:00:00,53.645,50.516,53.665,48.89
2021-03-07 04:00:00,49.407,54.0,54.0,49.407
2021-03-07 08:00:00,54.0,45.662,54.0,43.4
2021-03-07 12:00:00,45.662,44.5,47.329,42.92
2021-03-07 16:00:00,45.401,45.775,46.911,42.007
2021-03-07 20:00:00,44.893,42.151,46.85,42.055
2021-03-08 00:00:00,43.851,44.67,45.695,43.851
2021-03-08 04:00:00,44.01,44.511,46.21,44.01
2021-03-08 08:00:00,44.448,44.437,45.0,42.5
2021-03-08 12:00:00,44.988,45.935,47.999,44.75
2021-03-08 16:00:00,45.499,41.141,45.5,41.141
