Date,Open,Close,High,Low
2021-12-22 12:00:00,0.1,0.144,0.1639,0.1
2021-12-22 16:00:00,0.144,0.1394,0.145,0.1349
2021-12-22 20:00:00,0.1398,0.1381,0.1451,0.135
2021-12-23 00:00:00,0.1382,0.1754,0.1851,0.1326
2021-12-23 04:00:00,0.1754,0.161,0.189,0.1566
2021-12-23 08:00:00,0.1605,0.1541,0.162,0.1451
2021-12-23 12:00:00,0.1541,0.1635,0.1635,0.153
2021-12-23 16:00:00,0.1635,0.1557,0.1635,0.1511
2021-12-23 20:00:00,0.1563,0.1672,0.1724,0.1556
2021-12-24 00:00:00,0.1679,0.1746,0.178,0.1585
2021-12-24 04:00:00,0.1745,0.1691,0.176,0.1633
2021-12-24 08:00:00,0.1696,0.1668,0.1727,0.165
2021-12-24 12:00:00,0.167,0.1588,0.1707,0.153
2021-12-24 16:00:00,0.1589,0.1582,0.1629,0.155
2021-12-24 20:00:00,0.1581,0.1573,0.164,0.1554
2021-12-25 00:00:00,0.1572,0.1527,0.163,0.1503
2021-12-25 04:00:00,0.1526,0.1528,0.1558,0.1505
2021-12-25 08:00:00,0.1532,0.146,0.1576,0.1407
2021-12-25 12:00:00,0.1459,0.1467,0.1473,0.1412
2021-12-25 16:00:00,0.1464,0.1456,0.1506,0.1408
2021-12-25 20:00:00,0.146,0.1466,0.1488,0.145
2021-12-26 00:00:00,0.1466,0.1434,0.155,0.1414
2021-12-26 04:00:00,0.1432,0.1484,0.1504,0.1429
2021-12-26 08:00:00,0.1491,0.1462,0.1498,0.1444
2021-12-26 12:00:00,0.1462,0.1463,0.1479,0.1429
2021-12-26 16:00:00,0.1462,0.1474,0.1479,0.1438
2021-12-26 20:00:00,0.1472,0.1484,0.1491,0.1445
2021-12-27 00:00:00,0.1485,0.1543,0.1557,0.1451
2021-12-27 04:00:00,0.1547,0.1535,0.1561,0.15
2021-12-27 08:00:00,0.1535,0.1503,0.155,0.1475
2021-12-27 12:00:00,0.1507,0.1534,0.157,0.1503
2021-12-27 16:00:00,0.1537,0.1516,0.1564,0.1499
2021-12-27 20:00:00,0.1516,0.1483,0.1527,0.1477
2021-12-28 00:00:00,0.1482,0.1327,0.1482,0.1258
2021-12-28 04:00:00,0.1323,0.1338,0.1347,0.1258
2021-12-28 08:00:00,0.1339,0.1332,0.1359,0.1298
2021-12-28 12:00:00,0.1335,0.1327,0.1345,0.1272
2021-12-28 16:00:00,0.1328,0.1242,0.1336,0.1198
2021-12-28 20:00:00,0.1243,0.125,0.1282,0.1234
2021-12-29 00:00:00,0.1253,0.1297,0.1323,0.1228
2021-12-29 04:00:00,0.1298,0.127,0.1305,0.126
2021-12-29 08:00:00,0.1268,0.1251,0.1288,0.1235
2021-12-29 12:00:00,0.125,0.1211,0.1256,0.1128
2021-12-29 16:00:00,0.1214,0.1159,0.1214,0.1146
2021-12-29 20:00:00,0.1156,0.1136,0.1179,0.1119
2021-12-30 00:00:00,0.1137,0.1103,0.114,0.1036
2021-12-30 04:00:00,0.1102,0.1152,0.1154,0.1099
2021-12-30 08:00:00,0.115,0.1197,0.1212,0.1134
2021-12-30 12:00:00,0.1197,0.1209,0.1243,0.1182
2021-12-30 16:00:00,0.1212,0.1277,0.1335,0.121
2021-12-30 20:00:00,0.1277,0.1242,0.1298,0.121
2021-12-31 00:00:00,0.1241,0.1273,0.1286,0.1195
2021-12-31 04:00:00,0.1272,0.1262,0.1293,0.1234
2021-12-31 08:00:00,0.1263,0.1286,0.134,0.1244
2021-12-31 12:00:00,0.1285,0.1282,0.1305,0.1247
2021-12-31 16:00:00,0.1285,0.1148,0.1312,0.1119
2021-12-31 20:00:00,0.1145,0.1176,0.1184,0.113
2022-01-01 00:00:00,0.1178,0.1228,0.1253,0.1176
2022-01-01 04:00:00,0.1228,0.1246,0.126,0.1204
2022-01-01 08:00:00,0.1247,0.1214,0.1256,0.1203
2022-01-01 12:00:00,0.1211,0.1218,0.1239,0.1177
2022-01-01 16:00:00,0.1216,0.1237,0.125,0.1211
2022-01-01 20:00:00,0.1235,0.1248,0.1256,0.1225
2022-01-02 00:00:00,0.125,0.1209,0.1253,0.118
2022-01-02 04:00:00,0.1208,0.1191,0.1211,0.1155
2022-01-02 08:00:00,0.1191,0.1198,0.1209,0.1187
2022-01-02 12:00:00,0.1195,0.1196,0.1205,0.118
2022-01-02 16:00:00,0.1197,0.1189,0.1229,0.1153
2022-01-02 20:00:00,0.1188,0.121,0.1215,0.1181
2022-01-03 00:00:00,0.1209,0.136,0.14,0.1195
2022-01-03 04:00:00,0.1361,0.1344,0.138,0.1318
2022-01-03 08:00:00,0.1344,0.1311,0.1352,0.1275
2022-01-03 12:00:00,0.131,0.131,0.1331,0.1276
2022-01-03 16:00:00,0.131,0.1204,0.1319,0.1184
2022-01-03 20:00:00,0.12,0.1236,0.1244,0.1191
2022-01-04 00:00:00,0.1235,0.1222,0.1239,0.1198
2022-01-04 04:00:00,0.1221,0.1228,0.1231,0.1205
2022-01-04 08:00:00,0.1227,0.1234,0.1247,0.121
2022-01-04 12:00:00,0.1235,0.1252,0.1268,0.1212
2022-01-04 16:00:00,0.1251,0.1201,0.1251,0.1171
2022-01-04 20:00:00,0.1202,0.119,0.1213,0.1181
2022-01-05 00:00:00,0.1195,0.1181,0.1208,0.1174
