Date,Open,Close,High,Low
2021-06-10 08:00:00,1.56,1.6521,3.1447,1.56
2021-06-10 12:00:00,1.6522,1.665,1.7152,1.5101
2021-06-10 16:00:00,1.6456,1.6264,1.6727,1.5831
2021-06-10 20:00:00,1.6265,1.6871,1.7162,1.5831
2021-06-11 00:00:00,1.6892,1.6012,1.72,1.5
2021-06-11 04:00:00,1.5948,1.6396,1.6396,1.5597
2021-06-11 08:00:00,1.6405,1.6415,1.6533,1.5999
2021-06-11 12:00:00,1.6499,1.5485,1.6532,1.4842
2021-06-11 16:00:00,1.5484,1.5358,1.5575,1.4843
2021-06-11 20:00:00,1.546,1.4474,1.5893,1.44
2021-06-12 00:00:00,1.4433,1.3493,1.4474,1.3141
2021-06-12 04:00:00,1.3495,1.3602,1.3935,1.3432
2021-06-12 08:00:00,1.3602,1.3423,1.3703,1.2507
2021-06-12 12:00:00,1.3414,1.3755,1.39,1.3414
2021-06-12 16:00:00,1.3744,1.3589,1.3769,1.3414
2021-06-12 20:00:00,1.3635,1.3785,1.3804,1.3501
2021-06-13 00:00:00,1.3581,1.3636,1.385,1.358
2021-06-13 04:00:00,1.3649,1.345,1.3649,1.3414
2021-06-13 08:00:00,1.3444,1.3,1.3536,1.3
2021-06-13 12:00:00,1.2833,1.2638,1.3348,1.223
2021-06-13 16:00:00,1.2578,1.364,1.4005,1.2235
2021-06-13 20:00:00,1.3852,1.33,1.4116,1.2835
2021-06-14 00:00:00,1.3535,1.3342,1.3699,1.2972
2021-06-14 04:00:00,1.33,1.299,1.34,1.2574
2021-06-14 08:00:00,1.2807,1.2822,1.3668,1.2305
2021-06-14 12:00:00,1.2821,1.3777,1.3934,1.2507
2021-06-14 16:00:00,1.364,1.3007,1.3899,1.3002
2021-06-14 20:00:00,1.3006,1.3083,1.3993,1.252
2021-06-15 00:00:00,1.2964,1.3032,1.3409,1.27
2021-06-15 04:00:00,1.292,1.3206,1.35,1.2877
2021-06-15 08:00:00,1.3093,1.3005,1.3207,1.2851
2021-06-15 12:00:00,1.3008,1.2801,1.3206,1.2223
2021-06-15 16:00:00,1.2801,1.2688,1.3499,1.243
2021-06-15 20:00:00,1.2778,1.2517,1.2778,1.23
2021-06-16 00:00:00,1.2518,1.2313,1.2547,1.2202
2021-06-16 04:00:00,1.2412,1.2228,1.27,1.2202
2021-06-16 08:00:00,1.2228,1.1475,1.2395,1.1444
2021-06-16 12:00:00,1.1588,1.1654,1.1654,1.1251
2021-06-16 16:00:00,1.1654,1.17,1.1836,1.134
2021-06-16 20:00:00,1.176,1.1651,1.1867,1.1612
2021-06-17 00:00:00,1.1666,1.1951,1.2351,1.1652
2021-06-17 04:00:00,1.1959,1.1785,1.2298,1.1724
2021-06-17 08:00:00,1.1694,1.1839,1.1948,1.1504
2021-06-17 12:00:00,1.1876,1.2054,1.2283,1.172
