Date,Open,Close,High,Low
2022-04-28 08:00:00,0.433,0.532,0.5572,0.433
2022-04-28 12:00:00,0.5357,0.5118,0.7178,0.505
2022-04-28 16:00:00,0.5118,0.5224,0.5573,0.5069
2022-04-28 20:00:00,0.5224,0.512,0.5224,0.5064
2022-04-29 00:00:00,0.512,0.5022,0.5135,0.4998
2022-04-29 04:00:00,0.5,0.5236,0.5273,0.4965
2022-04-29 08:00:00,0.5236,0.5168,0.5383,0.4905
2022-04-29 12:00:00,0.5168,0.5068,0.55,0.5023
2022-04-29 16:00:00,0.5069,0.492,0.5232,0.4723
2022-04-29 20:00:00,0.4913,0.4822,0.5108,0.4729
2022-04-30 00:00:00,0.4825,0.4796,0.495,0.4779
2022-04-30 04:00:00,0.4806,0.4778,0.4901,0.472
2022-04-30 08:00:00,0.4763,0.483,0.4848,0.4526
2022-04-30 12:00:00,0.4829,0.4643,0.4977,0.46
2022-04-30 16:00:00,0.4648,0.4478,0.4884,0.437
2022-04-30 20:00:00,0.4478,0.4332,0.4818,0.4283
2022-05-01 00:00:00,0.4327,0.4292,0.4396,0.406
2022-05-01 04:00:00,0.4292,0.4274,0.4443,0.4157
2022-05-01 08:00:00,0.4265,0.4444,0.4456,0.4249
2022-05-01 12:00:00,0.443,0.4475,0.4595,0.4226
2022-05-01 16:00:00,0.447,0.4411,0.48,0.4215
2022-05-01 20:00:00,0.4408,0.44,0.48,0.4301
2022-05-02 00:00:00,0.4416,0.4417,0.4465,0.4271
2022-05-02 04:00:00,0.4433,0.4552,0.5321,0.435
2022-05-02 08:00:00,0.4547,0.4479,0.4946,0.4342
2022-05-02 12:00:00,0.4477,0.4363,0.45,0.4211
2022-05-02 16:00:00,0.4346,0.4274,0.45,0.4163
2022-05-02 20:00:00,0.4275,0.425,0.4327,0.415
2022-05-03 00:00:00,0.4245,0.4233,0.4347,0.4087
2022-05-03 04:00:00,0.4246,0.4195,0.4272,0.413
2022-05-03 08:00:00,0.4195,0.4319,0.4397,0.416
2022-05-03 12:00:00,0.4319,0.423,0.44,0.4163
2022-05-03 16:00:00,0.423,0.4073,0.4399,0.4073
2022-05-03 20:00:00,0.4084,0.4052,0.42,0.4052
