Date,Open,Close,High,Low
2021-02-05 08:00:00,2.0,2.4968,2.7267,2.0
2021-02-05 12:00:00,2.5064,2.4398,2.5845,2.4086
2021-02-05 16:00:00,2.4285,2.3832,2.5593,2.3455
2021-02-05 20:00:00,2.4,2.4471,2.5809,2.1868
2021-02-06 00:00:00,2.4607,2.3201,2.4607,2.2221
2021-02-06 04:00:00,2.33,2.3356,2.4999,2.2368
2021-02-06 08:00:00,2.3352,2.2554,2.4,2.2554
2021-02-06 12:00:00,2.2857,2.2614,2.32,2.26
2021-02-06 16:00:00,2.2753,2.3462,2.3462,2.2544
2021-02-06 20:00:00,2.3372,2.287,2.355,2.2256
2021-02-07 00:00:00,2.305,2.2416,2.305,2.199
2021-02-07 04:00:00,2.2416,2.2057,2.2491,2.159
2021-02-07 08:00:00,2.2031,2.2533,2.2533,2.159
2021-02-07 12:00:00,2.2533,2.2077,2.3328,2.0706
2021-02-07 16:00:00,2.2077,2.2276,2.2741,1.99
2021-02-07 20:00:00,2.2276,2.2943,2.2991,2.2232
2021-02-08 00:00:00,2.2943,2.5277,2.5277,2.2869
2021-02-08 04:00:00,2.5277,2.6355,2.6443,2.485
2021-02-08 08:00:00,2.6355,2.7836,2.815,2.6355
2021-02-08 12:00:00,2.7836,2.6683,2.815,2.5594
2021-02-08 16:00:00,2.6285,2.6817,2.795,2.5896
2021-02-08 20:00:00,2.6997,2.9105,2.93,2.6224
2021-02-09 00:00:00,2.9027,2.9087,2.98,2.5225
2021-02-09 04:00:00,2.9053,2.8206,2.99,2.7501
2021-02-09 08:00:00,2.8206,2.8689,2.8742,2.7587
2021-02-09 12:00:00,2.8689,2.845,2.938,2.7501
2021-02-09 16:00:00,2.845,2.9069,2.9324,2.8349
2021-02-09 20:00:00,2.9069,2.9154,3.04,2.7306
2021-02-10 00:00:00,2.9142,2.9578,3.03,2.8001
2021-02-10 04:00:00,2.9578,2.9252,2.9793,2.8602
2021-02-10 08:00:00,2.924,2.9122,2.9521,2.8719
2021-02-10 12:00:00,2.9044,2.7081,2.9117,2.63
2021-02-10 16:00:00,2.7081,2.8306,2.8329,2.6714
2021-02-10 20:00:00,2.8306,2.8356,2.8917,2.7267
2021-02-11 00:00:00,2.8283,2.8619,2.91,2.8041
2021-02-11 04:00:00,2.8619,2.9011,2.942,2.8202
2021-02-11 08:00:00,2.9011,2.9576,3.0,2.9011
2021-02-11 12:00:00,2.9576,2.9993,3.05,2.95
2021-02-11 16:00:00,2.9993,3.0,3.0815,2.9347
2021-02-11 20:00:00,2.9703,2.9581,3.1,2.8464
2021-02-12 00:00:00,2.9297,2.9235,3.0949,2.86
