Date,Open,Close,High,Low
2021-04-13 08:00:00,0.2,0.2569,50.0,0.2
2021-04-13 12:00:00,0.2569,0.2542,0.284,0.2312
2021-04-13 16:00:00,0.26,0.2357,0.28,0.2222
2021-04-13 20:00:00,0.2358,0.256,0.268,0.2321
2021-04-14 00:00:00,0.256,0.2486,0.2623,0.2251
2021-04-14 04:00:00,0.2486,0.235,0.255,0.223
2021-04-14 08:00:00,0.2342,0.2359,0.24,0.22
2021-04-14 12:00:00,0.2357,0.2319,0.2521,0.2142
2021-04-14 16:00:00,0.2305,0.2415,0.2932,0.2142
2021-04-14 20:00:00,0.2415,0.2439,0.263,0.23
2021-04-15 00:00:00,0.2432,0.2461,0.2564,0.231
2021-04-15 04:00:00,0.2461,0.2432,0.2658,0.2379
2021-04-15 08:00:00,0.2432,0.2427,0.2554,0.2391
2021-04-15 12:00:00,0.2427,0.2466,0.25,0.24
2021-04-15 16:00:00,0.2467,0.2509,0.26,0.243
2021-04-15 20:00:00,0.2513,0.2506,0.2588,0.245
2021-04-16 00:00:00,0.2486,0.2329,0.2537,0.226
2021-04-16 04:00:00,0.2329,0.2359,0.2414,0.2255
2021-04-16 08:00:00,0.2359,0.2272,0.2405,0.2272
2021-04-16 12:00:00,0.2272,0.228,0.2316,0.217
2021-04-16 16:00:00,0.2292,0.2408,0.2434,0.226
2021-04-16 20:00:00,0.2425,0.238,0.2493,0.235
2021-04-17 00:00:00,0.2381,0.2368,0.2439,0.2311
2021-04-17 04:00:00,0.2372,0.2368,0.2439,0.2323
2021-04-17 08:00:00,0.2368,0.2328,0.244,0.22
2021-04-17 12:00:00,0.2313,0.233,0.2377,0.221
2021-04-17 16:00:00,0.233,0.237,0.2389,0.227
2021-04-17 20:00:00,0.238,0.2349,0.2425,0.2313
2021-04-18 00:00:00,0.2362,0.201,0.2414,0.1735
2021-04-18 04:00:00,0.2005,0.2087,0.2206,0.1889
2021-04-18 08:00:00,0.21,0.1869,0.2144,0.1869
2021-04-18 12:00:00,0.1892,0.2029,0.2104,0.1875
2021-04-18 16:00:00,0.201,0.2061,0.2149,0.197
2021-04-18 20:00:00,0.2079,0.2093,0.215,0.2067
2021-04-19 00:00:00,0.209,0.2128,0.2196,0.2001
2021-04-19 04:00:00,0.211,0.2125,0.216,0.2086
2021-04-19 08:00:00,0.2128,0.2097,0.2159,0.1998
2021-04-19 12:00:00,0.2097,0.1942,0.2097,0.1904
2021-04-19 16:00:00,0.1942,0.2041,0.2116,0.1942
2021-04-19 20:00:00,0.2041,0.2028,0.2067,0.1964
2021-04-20 00:00:00,0.2028,0.1947,0.2064,0.1806
2021-04-20 04:00:00,0.1948,0.1842,0.2027,0.181
2021-04-20 08:00:00,0.1855,0.1989,0.1989,0.1842
2021-04-20 12:00:00,0.1989,0.2076,0.22,0.1972
2021-04-20 16:00:00,0.2087,0.2272,0.2367,0.2075
2021-04-20 20:00:00,0.2272,0.2192,0.2273,0.21
2021-04-21 00:00:00,0.2173,0.2159,0.23,0.2077
2021-04-21 04:00:00,0.2158,0.2158,0.235,0.2129
2021-04-21 08:00:00,0.2158,0.2098,0.2239,0.206
2021-04-21 12:00:00,0.2098,0.2142,0.2188,0.2057
2021-04-21 16:00:00,0.2142,0.2138,0.2228,0.2046
2021-04-21 20:00:00,0.2138,0.2072,0.2179,0.2051
2021-04-22 00:00:00,0.207,0.1948,0.2093,0.1916
2021-04-22 04:00:00,0.1948,0.2017,0.2056,0.1915
2021-04-22 08:00:00,0.2017,0.195,0.2017,0.1905
2021-04-22 12:00:00,0.195,0.1986,0.1998,0.1926
2021-04-22 16:00:00,0.1986,0.1921,0.205,0.1887
2021-04-22 20:00:00,0.1921,0.1759,0.1939,0.1727
2021-04-23 00:00:00,0.1759,0.1579,0.1835,0.13
2021-04-23 04:00:00,0.1559,0.1491,0.1824,0.1384
2021-04-23 08:00:00,0.1494,0.1616,0.1741,0.1426
2021-04-23 12:00:00,0.1614,0.1554,0.1672,0.1433
2021-04-23 16:00:00,0.1553,0.1631,0.18,0.1553
2021-04-23 20:00:00,0.1625,0.1646,0.17,0.158
2021-04-24 00:00:00,0.1659,0.163,0.1675,0.155
2021-04-24 04:00:00,0.1615,0.1605,0.1666,0.1569
2021-04-24 08:00:00,0.1605,0.1539,0.1617,0.15
2021-04-24 12:00:00,0.1551,0.1572,0.163,0.1529
2021-04-24 16:00:00,0.1573,0.1576,0.16,0.1513
2021-04-24 20:00:00,0.1576,0.1632,0.17,0.1571
2021-04-25 00:00:00,0.1625,0.1632,0.1699,0.1573
2021-04-25 04:00:00,0.162,0.1677,0.1736,0.16
2021-04-25 08:00:00,0.1676,0.1707,0.1735,0.16
2021-04-25 12:00:00,0.1724,0.1824,0.1874,0.1708
2021-04-25 16:00:00,0.1824,0.176,0.1846,0.1753
2021-04-25 20:00:00,0.176,0.1727,0.1784,0.1607
2021-04-26 00:00:00,0.1727,0.1848,0.1936,0.172
2021-04-26 04:00:00,0.1849,0.1893,0.1923,0.1843
2021-04-26 08:00:00,0.1893,0.1925,0.1937,0.182
2021-04-26 12:00:00,0.1937,0.193,0.198,0.1878
2021-04-26 16:00:00,0.193,0.203,0.21,0.1892
2021-04-26 20:00:00,0.2017,0.198,0.2045,0.1894
2021-04-27 00:00:00,0.198,0.208,0.21,0.1965
2021-04-27 04:00:00,0.2065,0.216,0.2211,0.2051
2021-04-27 08:00:00,0.2159,0.2155,0.22,0.2094
2021-04-27 12:00:00,0.2154,0.219,0.2254,0.21
2021-04-27 16:00:00,0.2196,0.2286,0.2298,0.212
2021-04-27 20:00:00,0.2285,0.226,0.2331,0.2202
2021-04-28 00:00:00,0.2259,0.2449,0.2599,0.2259
2021-04-28 04:00:00,0.2449,0.2322,0.2558,0.2226
2021-04-28 08:00:00,0.2322,0.2384,0.2438,0.23
2021-04-28 12:00:00,0.2384,0.2347,0.2468,0.2298
2021-04-28 16:00:00,0.2348,0.2471,0.2471,0.2337
2021-04-28 20:00:00,0.2468,0.24,0.2477,0.2381
2021-04-29 00:00:00,0.2401,0.2373,0.2402,0.2314
2021-04-29 04:00:00,0.2371,0.2372,0.2426,0.2317
2021-04-29 08:00:00,0.2372,0.2438,0.2442,0.2331
2021-04-29 12:00:00,0.2433,0.2573,0.2605,0.2394
2021-04-29 16:00:00,0.2573,0.2432,0.2625,0.2392
2021-04-29 20:00:00,0.2431,0.2537,0.2566,0.2405
2021-04-30 00:00:00,0.2557,0.2445,0.2563,0.2433
2021-04-30 04:00:00,0.2446,0.254,0.255,0.2401
2021-04-30 08:00:00,0.2525,0.2622,0.2648,0.2501
2021-04-30 12:00:00,0.2622,0.2629,0.2707,0.2582
2021-04-30 16:00:00,0.2648,0.2615,0.27,0.2584
2021-04-30 20:00:00,0.2616,0.2662,0.2747,0.2611
2021-05-01 00:00:00,0.2662,0.2708,0.2749,0.2628
2021-05-01 04:00:00,0.2688,0.2741,0.277,0.2649
2021-05-01 08:00:00,0.2758,0.2695,0.2767,0.2605
2021-05-01 12:00:00,0.2685,0.2715,0.275,0.2603
2021-05-01 16:00:00,0.2735,0.2773,0.28,0.2686
2021-05-01 20:00:00,0.2773,0.2653,0.2793,0.2601
2021-05-02 00:00:00,0.2654,0.2617,0.2713,0.2581
2021-05-02 04:00:00,0.2617,0.254,0.2688,0.25
2021-05-02 08:00:00,0.2541,0.2702,0.2715,0.2514
2021-05-02 12:00:00,0.2708,0.2884,0.294,0.2701
2021-05-02 16:00:00,0.2868,0.2821,0.294,0.2748
2021-05-02 20:00:00,0.2828,0.2801,0.289,0.2755
2021-05-03 00:00:00,0.2823,0.2794,0.2894,0.2717
2021-05-03 04:00:00,0.2795,0.2836,0.2839,0.276
2021-05-03 08:00:00,0.2821,0.2972,0.2991,0.282
2021-05-03 12:00:00,0.2982,0.2849,0.3,0.2833
2021-05-03 16:00:00,0.2849,0.285,0.3,0.2813
2021-05-03 20:00:00,0.2839,0.2813,0.2861,0.275
2021-05-04 00:00:00,0.2795,0.2635,0.2814,0.2574
2021-05-04 04:00:00,0.2618,0.2672,0.2726,0.2569
2021-05-04 08:00:00,0.267,0.2784,0.2791,0.2602
2021-05-04 12:00:00,0.279,0.2577,0.2842,0.2569
2021-05-04 16:00:00,0.2578,0.2673,0.272,0.255
2021-05-04 20:00:00,0.269,0.26,0.2732,0.26
2021-05-05 00:00:00,0.26,0.264,0.2692,0.2574
2021-05-05 04:00:00,0.2621,0.267,0.2729,0.2609
2021-05-05 08:00:00,0.2673,0.2644,0.2718,0.2608
2021-05-05 12:00:00,0.264,0.2687,0.2767,0.261
2021-05-05 16:00:00,0.2687,0.2771,0.28,0.2645
2021-05-05 20:00:00,0.2771,0.2715,0.2796,0.2671
2021-05-06 00:00:00,0.2715,0.2617,0.2727,0.2575
2021-05-06 04:00:00,0.2606,0.2579,0.2672,0.2538
2021-05-06 08:00:00,0.2588,0.2595,0.2645,0.2516
2021-05-06 12:00:00,0.2595,0.2581,0.26,0.245
2021-05-06 16:00:00,0.2579,0.2426,0.26,0.2251
2021-05-06 20:00:00,0.242,0.2462,0.25,0.219
2021-05-07 00:00:00,0.2451,0.2399,0.2498,0.234
2021-05-07 04:00:00,0.24,0.239,0.249,0.2365
2021-05-07 08:00:00,0.2389,0.2401,0.2513,0.2326
2021-05-07 12:00:00,0.24,0.2422,0.2499,0.2301
2021-05-07 16:00:00,0.244,0.2363,0.25,0.2346
2021-05-07 20:00:00,0.2366,0.2353,0.2424,0.2275
2021-05-08 00:00:00,0.2358,0.248,0.2501,0.2306
2021-05-08 04:00:00,0.248,0.2528,0.255,0.2434
2021-05-08 08:00:00,0.2534,0.2522,0.26,0.2469
2021-05-08 12:00:00,0.2508,0.2497,0.27,0.242
2021-05-08 16:00:00,0.2493,0.2515,0.2703,0.245
