Date,Open,Close,High,Low
2023-07-09 16:00:00,1.1328,1.1316,1.1392,1.1277
2023-07-09 20:00:00,1.1312,1.1245,1.1344,1.1212
2023-07-10 00:00:00,1.1247,1.1174,1.1251,1.103
2023-07-10 04:00:00,1.118,1.1117,1.1181,1.1072
2023-07-10 08:00:00,1.1114,1.1126,1.1134,1.0951
2023-07-10 12:00:00,1.1134,1.1196,1.1256,1.1092
2023-07-10 16:00:00,1.1197,1.1395,1.1403,1.1127
2023-07-10 20:00:00,1.1398,1.1189,1.1445,1.1157
2023-07-11 00:00:00,1.1201,1.126,1.127,1.1147
2023-07-11 04:00:00,1.1258,1.1323,1.1341,1.1232
2023-07-11 08:00:00,1.1328,1.1259,1.1331,1.1146
2023-07-11 12:00:00,1.1247,1.1187,1.1254,1.1108
2023-07-11 16:00:00,1.119,1.1187,1.1229,1.1132
2023-07-11 20:00:00,1.1194,1.1276,1.1276,1.1162
2023-07-12 00:00:00,1.1277,1.1258,1.131,1.1244
2023-07-12 04:00:00,1.1258,1.1307,1.1348,1.1228
2023-07-12 08:00:00,1.1308,1.1322,1.1322,1.1243
2023-07-12 12:00:00,1.1322,1.1247,1.1391,1.1189
2023-07-12 16:00:00,1.1249,1.1153,1.1285,1.1089
2023-07-12 20:00:00,1.1147,1.1222,1.1236,1.1135
2023-07-13 00:00:00,1.1222,1.1147,1.1245,1.1132
2023-07-13 04:00:00,1.1146,1.1228,1.1289,1.1119
2023-07-13 08:00:00,1.1228,1.13,1.1338,1.1222
2023-07-13 12:00:00,1.1307,1.1587,1.1777,1.1228
2023-07-13 16:00:00,1.1613,1.2274,1.2475,1.1562
2023-07-13 20:00:00,1.2276,1.2237,1.2276,1.2013
2023-07-14 00:00:00,1.2247,1.2322,1.2521,1.2203
2023-07-14 04:00:00,1.2325,1.2214,1.2339,1.2102
2023-07-14 08:00:00,1.2195,1.2148,1.2433,1.2137
2023-07-14 12:00:00,1.2138,1.2745,1.2824,1.2071
2023-07-14 16:00:00,1.2737,1.1794,1.3329,1.1653
2023-07-14 20:00:00,1.179,1.2154,1.2154,1.1664
2023-07-15 00:00:00,1.2142,1.2124,1.232,1.2041
2023-07-15 04:00:00,1.2142,1.2788,1.2855,1.2131
2023-07-15 08:00:00,1.277,1.3066,1.3349,1.2625
2023-07-15 12:00:00,1.3074,1.2761,1.3198,1.2726
2023-07-15 16:00:00,1.2775,1.2649,1.2777,1.2536
2023-07-15 20:00:00,1.2646,1.2715,1.2715,1.2577
2023-07-16 00:00:00,1.2715,1.2505,1.2828,1.2327
2023-07-16 04:00:00,1.2523,1.2666,1.2758,1.251
2023-07-16 08:00:00,1.2651,1.3013,1.3101,1.2628
2023-07-16 12:00:00,1.3014,1.2851,1.3046,1.2803
2023-07-16 16:00:00,1.285,1.272,1.2923,1.2606
2023-07-16 20:00:00,1.2711,1.2712,1.2926,1.2596
2023-07-17 00:00:00,1.2705,1.3139,1.33,1.2673
2023-07-17 04:00:00,1.3133,1.319,1.3496,1.3106
2023-07-17 08:00:00,1.3193,1.2896,1.323,1.2629
2023-07-17 12:00:00,1.2895,1.2929,1.3182,1.2708
2023-07-17 16:00:00,1.2926,1.2775,1.3035,1.2503
2023-07-17 20:00:00,1.2759,1.305,1.3108,1.2691
2023-07-18 00:00:00,1.3052,1.3095,1.331,1.3008
2023-07-18 04:00:00,1.3103,1.2837,1.3148,1.2809
2023-07-18 08:00:00,1.284,1.2639,1.2946,1.2621
2023-07-18 12:00:00,1.2633,1.2538,1.2701,1.2202
2023-07-18 16:00:00,1.2514,1.2402,1.2616,1.2218
2023-07-18 20:00:00,1.2412,1.2452,1.2508,1.2364
2023-07-19 00:00:00,1.2414,1.2673,1.2711,1.2317
2023-07-19 04:00:00,1.2683,1.2563,1.2754,1.2543
2023-07-19 08:00:00,1.2563,1.2621,1.2627,1.2418
2023-07-19 12:00:00,1.2621,1.2704,1.2757,1.243
