Date,Open,Close,High,Low
2023-12-21 12:00:00,0.33,2.7082,3.6336,0.33
2023-12-21 16:00:00,2.7199,2.6406,2.85,2.4871
2023-12-21 20:00:00,2.6235,2.5203,2.7304,2.4886
2023-12-22 00:00:00,2.5203,2.4997,2.7,2.47
2023-12-22 04:00:00,2.5,2.3207,2.6168,2.1907
2023-12-22 08:00:00,2.3207,2.2428,2.3425,2.0064
2023-12-22 12:00:00,2.229,2.093,2.2436,2.0385
2023-12-22 16:00:00,2.0947,2.3498,2.4524,1.86
2023-12-22 20:00:00,2.3498,2.0096,2.4288,1.99
2023-12-23 00:00:00,2.029,2.0276,2.1692,1.81
2023-12-23 04:00:00,2.0279,2.0225,2.1219,1.8999
2023-12-23 08:00:00,2.022,2.1099,2.11,1.977
2023-12-23 12:00:00,2.1099,2.26,2.3899,2.1099
2023-12-23 16:00:00,2.2599,2.2117,2.35,2.1413
2023-12-23 20:00:00,2.2088,2.2012,2.2924,2.1522
2023-12-24 00:00:00,2.1818,2.1916,2.2049,2.0778
2023-12-24 04:00:00,2.1916,2.0192,2.2105,1.8769
2023-12-24 08:00:00,2.0225,1.9901,2.0761,1.99
2023-12-24 12:00:00,2.0081,2.0406,2.096,2.0
2023-12-24 16:00:00,2.0405,2.0372,2.1378,1.95
2023-12-24 20:00:00,2.03,2.0864,2.1204,2.0167
2023-12-25 00:00:00,2.0865,2.1551,2.19,2.0664
2023-12-25 04:00:00,2.155,2.0241,2.155,1.9956
2023-12-25 08:00:00,2.024,2.0721,2.1149,2.0
2023-12-25 12:00:00,2.0749,2.1259,2.1455,2.04
2023-12-25 16:00:00,2.128,2.1353,2.1795,2.0788
2023-12-25 20:00:00,2.1352,2.1325,2.1584,2.0948
2023-12-26 00:00:00,2.1365,2.3768,2.48,2.128
2023-12-26 04:00:00,2.376,2.235,2.3999,2.1518
2023-12-26 08:00:00,2.2344,2.39,2.4485,2.198
2023-12-26 12:00:00,2.3888,2.6145,2.95,2.3414
2023-12-26 16:00:00,2.6142,2.5295,2.8062,2.395
2023-12-26 20:00:00,2.5252,2.5955,2.7499,2.5
2023-12-27 00:00:00,2.5981,3.0365,3.166,2.41
2023-12-27 04:00:00,3.0425,2.9933,3.2489,2.83
2023-12-27 08:00:00,2.989,2.8105,3.1999,2.7655
2023-12-27 12:00:00,2.8189,2.5491,2.8189,2.4899
2023-12-27 16:00:00,2.5491,2.623,2.7152,2.5123
2023-12-27 20:00:00,2.6233,2.7232,2.7999,2.5728
2023-12-28 00:00:00,2.7233,2.5175,2.7999,2.5175
