Date,Open,Close,High,Low
2023-07-09 16:00:00,34.41,34.5,34.53,34.34
2023-07-09 20:00:00,34.52,34.59,34.6,34.32
2023-07-10 00:00:00,34.6,33.97,34.62,33.7
2023-07-10 04:00:00,33.96,33.93,34.11,33.73
2023-07-10 08:00:00,34.04,34.56,34.58,33.76
2023-07-10 12:00:00,34.53,35.23,35.4,34.4
2023-07-10 16:00:00,35.2,35.59,36.2,35.1
2023-07-10 20:00:00,35.67,35.18,35.72,34.94
2023-07-11 00:00:00,35.18,35.38,35.51,35.07
2023-07-11 04:00:00,35.35,35.67,35.76,35.35
2023-07-11 08:00:00,35.64,35.46,35.79,35.23
2023-07-11 12:00:00,35.41,35.35,35.49,35.19
2023-07-11 16:00:00,35.4,35.34,35.53,35.16
2023-07-11 20:00:00,35.29,35.5,35.55,35.15
2023-07-12 00:00:00,35.52,35.55,35.74,35.42
2023-07-12 04:00:00,35.55,35.81,35.91,35.54
2023-07-12 08:00:00,35.74,35.64,35.84,35.51
2023-07-12 12:00:00,35.63,35.35,35.8,35.24
2023-07-12 16:00:00,35.29,34.95,35.3,34.81
2023-07-12 20:00:00,34.93,35.31,35.33,34.87
2023-07-13 00:00:00,35.3,34.9,35.35,34.9
2023-07-13 04:00:00,34.92,34.88,35.1,34.81
2023-07-13 08:00:00,34.9,35.2,35.27,34.84
2023-07-13 12:00:00,35.16,35.9,36.14,34.99
2023-07-13 16:00:00,35.9,36.69,36.88,35.7
2023-07-13 20:00:00,36.82,37.05,37.1,36.14
2023-07-14 00:00:00,37.04,37.21,37.61,36.8
2023-07-14 04:00:00,37.18,36.66,37.23,36.56
2023-07-14 08:00:00,36.67,37.17,37.21,36.47
2023-07-14 12:00:00,37.17,37.85,38.0,37.0
2023-07-14 16:00:00,37.88,35.63,38.1,35.18
2023-07-14 20:00:00,35.72,36.42,36.42,35.52
2023-07-15 00:00:00,36.42,36.26,36.6,36.16
2023-07-15 04:00:00,36.34,36.98,37.06,36.33
2023-07-15 08:00:00,37.0,36.84,37.31,36.73
2023-07-15 12:00:00,36.88,36.66,37.1,36.59
2023-07-15 16:00:00,36.61,36.79,36.96,36.36
2023-07-15 20:00:00,36.68,36.71,36.78,36.4
2023-07-16 00:00:00,36.72,36.27,36.89,36.01
2023-07-16 04:00:00,36.25,36.72,36.79,36.21
2023-07-16 08:00:00,36.72,37.58,37.71,36.72
2023-07-16 12:00:00,37.54,37.62,37.74,37.25
2023-07-16 16:00:00,37.65,36.84,37.71,36.84
2023-07-16 20:00:00,36.82,37.0,37.5,36.78
2023-07-17 00:00:00,37.0,37.83,37.87,36.84
