Date,Open,Close,High,Low
2023-07-09 16:00:00,0.2622,0.2526,0.2622,0.249
2023-07-09 20:00:00,0.2527,0.2517,0.2528,0.2515
2023-07-10 00:00:00,0.2517,0.2519,0.2538,0.2502
2023-07-10 04:00:00,0.2519,0.2543,0.2548,0.2518
2023-07-10 08:00:00,0.254,0.2534,0.2543,0.2524
2023-07-10 12:00:00,0.2535,0.2542,0.2558,0.2526
2023-07-10 16:00:00,0.2541,0.2533,0.2557,0.253
2023-07-10 20:00:00,0.2532,0.2515,0.2612,0.2509
2023-07-11 00:00:00,0.2515,0.252,0.2526,0.2502
2023-07-11 04:00:00,0.2519,0.2547,0.2547,0.2512
2023-07-11 08:00:00,0.2524,0.2531,0.2542,0.25
2023-07-11 12:00:00,0.2532,0.2541,0.2547,0.25
2023-07-11 16:00:00,0.2548,0.2578,0.258,0.2532
2023-07-11 20:00:00,0.2579,0.2599,0.2604,0.2579
2023-07-12 00:00:00,0.2601,0.2597,0.2603,0.2578
2023-07-12 04:00:00,0.2596,0.2594,0.2604,0.2581
2023-07-12 08:00:00,0.2595,0.2601,0.2617,0.2461
2023-07-12 12:00:00,0.2602,0.2637,0.27,0.2542
2023-07-12 16:00:00,0.2637,0.2588,0.2669,0.2586
2023-07-12 20:00:00,0.2588,0.2603,0.2608,0.2586
2023-07-13 00:00:00,0.2602,0.2635,0.2636,0.2602
2023-07-13 04:00:00,0.2635,0.2642,0.2654,0.2631
2023-07-13 08:00:00,0.2642,0.2638,0.2649,0.263
2023-07-13 12:00:00,0.2637,0.2663,0.2685,0.2624
2023-07-13 16:00:00,0.2663,0.2712,0.2751,0.2651
2023-07-13 20:00:00,0.2712,0.2723,0.2764,0.2653
2023-07-14 00:00:00,0.2723,0.2719,0.2764,0.2704
2023-07-14 04:00:00,0.2721,0.2737,0.282,0.2712
2023-07-14 08:00:00,0.2737,0.2712,0.2745,0.2692
2023-07-14 12:00:00,0.2711,0.27,0.2729,0.2683
2023-07-14 16:00:00,0.27,0.2715,0.2732,0.2651
2023-07-14 20:00:00,0.2715,0.2633,0.2716,0.2555
2023-07-15 00:00:00,0.2631,0.2629,0.2639,0.2624
2023-07-15 04:00:00,0.2628,0.2626,0.2642,0.2623
2023-07-15 08:00:00,0.2627,0.2636,0.2656,0.2624
2023-07-15 12:00:00,0.2636,0.2658,0.2668,0.2636
2023-07-15 16:00:00,0.2657,0.2616,0.2661,0.2554
2023-07-15 20:00:00,0.2617,0.2608,0.2625,0.2586
2023-07-16 00:00:00,0.2608,0.2614,0.2625,0.2517
2023-07-16 04:00:00,0.2613,0.2617,0.2636,0.2605
2023-07-16 08:00:00,0.2617,0.2629,0.2639,0.2612
2023-07-16 12:00:00,0.263,0.2622,0.2643,0.2608
2023-07-16 16:00:00,0.2623,0.2635,0.2641,0.2612
2023-07-16 20:00:00,0.2635,0.2635,0.2653,0.2626
2023-07-17 00:00:00,0.2634,0.2642,0.2666,0.2628
2023-07-17 04:00:00,0.2641,0.2635,0.2655,0.2603
2023-07-17 08:00:00,0.2635,0.2539,0.2656,0.2539
2023-07-17 12:00:00,0.2551,0.2534,0.2638,0.2474
2023-07-17 16:00:00,0.2535,0.2538,0.2587,0.2534
2023-07-17 20:00:00,0.2538,0.2545,0.2562,0.252
2023-07-18 00:00:00,0.2545,0.2497,0.2575,0.2485
2023-07-18 04:00:00,0.2497,0.2501,0.2507,0.2473
2023-07-18 08:00:00,0.2501,0.2454,0.2517,0.2454
2023-07-18 12:00:00,0.2472,0.2439,0.2474,0.2425
2023-07-18 16:00:00,0.244,0.239,0.2515,0.2356
2023-07-18 20:00:00,0.239,0.2393,0.2428,0.2364
2023-07-19 00:00:00,0.2394,0.2421,0.2431,0.2376
2023-07-19 04:00:00,0.2421,0.242,0.2427,0.242
2023-07-19 08:00:00,0.242,0.2418,0.2426,0.2405
2023-07-19 12:00:00,0.2418,0.2412,0.2428,0.2378
2023-07-19 16:00:00,0.2412,0.2439,0.2445,0.2412
2023-07-19 20:00:00,0.244,0.2437,0.2445,0.2422
2023-07-20 00:00:00,0.2437,0.2434,0.2443,0.2432
2023-07-20 04:00:00,0.2435,0.2442,0.2453,0.2407
2023-07-20 08:00:00,0.2442,0.2523,0.2548,0.2396
2023-07-20 12:00:00,0.2523,0.2502,0.2533,0.2491
2023-07-20 16:00:00,0.2502,0.2513,0.254,0.2502
2023-07-20 20:00:00,0.2513,0.2542,0.2549,0.2501
2023-07-21 00:00:00,0.2542,0.2539,0.2544,0.252
2023-07-21 04:00:00,0.2539,0.2539,0.2539,0.2539
2023-07-21 08:00:00,0.254,0.2517,0.254,0.2512
2023-07-21 12:00:00,0.2519,0.2731,0.4232,0.2519
2023-07-21 16:00:00,0.2731,0.2721,0.2834,0.2658
2023-07-21 20:00:00,0.2721,0.2757,0.2777,0.2718
2023-07-22 00:00:00,0.2757,0.2729,0.3,0.2718
2023-07-22 04:00:00,0.2728,0.2814,0.285,0.2716
2023-07-22 08:00:00,0.2814,0.273,0.2814,0.265
2023-07-22 12:00:00,0.2732,0.2706,0.2824,0.2669
2023-07-22 16:00:00,0.2706,0.2714,0.2714,0.2669
2023-07-22 20:00:00,0.2707,0.2698,0.2718,0.2597
2023-07-23 00:00:00,0.2698,0.2696,0.2708,0.2696
2023-07-23 04:00:00,0.2696,0.2697,0.2703,0.2684
2023-07-23 08:00:00,0.2699,0.2723,0.2728,0.2685
2023-07-23 12:00:00,0.2723,0.2704,0.2726,0.2704
2023-07-23 16:00:00,0.2703,0.2687,0.272,0.2672
2023-07-23 20:00:00,0.2688,0.2692,0.2706,0.2679
2023-07-24 00:00:00,0.2695,0.2675,0.2699,0.2665
2023-07-24 04:00:00,0.2674,0.2659,0.2674,0.2656
2023-07-24 08:00:00,0.2659,0.259,0.2673,0.2578
2023-07-24 12:00:00,0.259,0.2589,0.2608,0.2485
2023-07-24 16:00:00,0.2589,0.2536,0.2605,0.2507
2023-07-24 20:00:00,0.2536,0.2514,0.2538,0.2424
2023-07-25 00:00:00,0.2515,0.2528,0.2532,0.2509
2023-07-25 04:00:00,0.2528,0.2517,0.2532,0.2514
2023-07-25 08:00:00,0.2516,0.2515,0.2539,0.2476
2023-07-25 12:00:00,0.2515,0.253,0.254,0.2511
2023-07-25 16:00:00,0.253,0.249,0.2549,0.2486
2023-07-25 20:00:00,0.2486,0.2492,0.2499,0.2462
2023-07-26 00:00:00,0.2491,0.2512,0.2528,0.2462
2023-07-26 04:00:00,0.2512,0.2494,0.2513,0.2461
2023-07-26 08:00:00,0.2495,0.2491,0.2497,0.249
2023-07-26 12:00:00,0.249,0.2473,0.2492,0.2473
2023-07-26 16:00:00,0.2474,0.2519,0.2527,0.2474
2023-07-26 20:00:00,0.252,0.2514,0.2527,0.2498
2023-07-27 00:00:00,0.2514,0.2512,0.2515,0.2498
2023-07-27 04:00:00,0.2512,0.2517,0.2568,0.249
2023-07-27 08:00:00,0.2518,0.2508,0.2523,0.2497
2023-07-27 12:00:00,0.2509,0.2508,0.2527,0.2486
