Date,Open,Close,High,Low
2023-07-09 16:00:00,0.9005,0.9016,0.9067,0.8981
2023-07-09 20:00:00,0.8975,0.8866,0.9026,0.8839
2023-07-10 00:00:00,0.8813,0.8968,0.9006,0.8575
2023-07-10 04:00:00,0.8975,0.8865,0.8998,0.8854
2023-07-10 08:00:00,0.8813,0.9084,0.9084,0.8713
2023-07-10 12:00:00,0.9095,0.9334,0.9344,0.9035
2023-07-10 16:00:00,0.9384,0.9316,0.9444,0.9225
2023-07-10 20:00:00,0.9345,0.9266,0.9435,0.9266
2023-07-11 00:00:00,0.9286,0.9398,0.9454,0.9175
2023-07-11 04:00:00,0.9455,0.9335,0.9515,0.9304
2023-07-11 08:00:00,0.93,0.9346,0.9414,0.9294
2023-07-11 12:00:00,0.9325,0.9359,0.9394,0.9301
2023-07-11 16:00:00,0.935,0.9265,0.9404,0.926
2023-07-11 20:00:00,0.9339,0.9366,0.9462,0.9338
2023-07-12 00:00:00,0.9335,0.9406,0.9495,0.9335
2023-07-12 04:00:00,0.9395,0.9344,0.9415,0.9313
2023-07-12 08:00:00,0.9304,0.9346,0.9383,0.9304
2023-07-12 12:00:00,0.9324,0.9295,0.9445,0.9286
2023-07-12 16:00:00,0.9314,0.9205,0.9405,0.9186
2023-07-12 20:00:00,0.918,0.9435,0.9447,0.9164
2023-07-13 00:00:00,0.9402,0.9334,0.9402,0.9261
2023-07-13 04:00:00,0.9316,0.9535,0.9555,0.9315
2023-07-13 08:00:00,0.9574,0.9694,0.9766,0.9559
2023-07-13 12:00:00,0.9727,0.9873,0.9913,0.9545
2023-07-13 16:00:00,0.9905,1.0604,1.0627,0.9905
2023-07-13 20:00:00,1.0662,1.0684,1.073,1.0463
2023-07-14 00:00:00,1.0758,1.0581,1.0852,1.0581
2023-07-14 04:00:00,1.0597,1.0603,1.0769,1.0554
2023-07-14 08:00:00,1.0713,1.0711,1.073,1.0513
2023-07-14 12:00:00,1.0724,1.0803,1.0836,1.0621
2023-07-14 16:00:00,1.0833,1.043,1.089,1.0105
2023-07-14 20:00:00,1.0488,1.0797,1.0797,1.0433
2023-07-15 00:00:00,1.08,1.0704,1.0813,1.0473
2023-07-15 04:00:00,1.0626,1.0973,1.1003,1.0488
2023-07-15 08:00:00,1.0927,1.0723,1.1017,1.0708
2023-07-15 12:00:00,1.0686,1.0548,1.0695,1.0513
2023-07-15 16:00:00,1.0505,1.0643,1.066,1.0474
2023-07-15 20:00:00,1.0623,1.0633,1.0661,1.0593
2023-07-16 00:00:00,1.0662,1.0543,1.0673,1.03
2023-07-16 04:00:00,1.0523,1.0356,1.0523,1.0356
2023-07-16 08:00:00,1.0354,1.0166,1.0354,1.0166
2023-07-16 12:00:00,1.0237,1.0423,1.0453,1.0162
2023-07-16 16:00:00,1.0406,1.0236,1.0406,1.0236
2023-07-16 20:00:00,1.0216,1.015,1.0297,1.015
2023-07-17 00:00:00,1.0203,1.0673,1.0673,1.0203
2023-07-17 04:00:00,1.0685,1.0764,1.0833,1.0673
