Date,Open,Close,High,Low
2023-07-09 16:00:00,8.708,8.8224,8.8794,8.6188
2023-07-09 20:00:00,8.8224,8.7126,8.8224,8.6187
2023-07-10 00:00:00,8.6665,8.6318,8.7061,8.4191
2023-07-10 04:00:00,8.5698,8.5962,8.6311,8.4624
2023-07-10 08:00:00,8.5162,8.6444,8.6661,8.4001
2023-07-10 12:00:00,8.6036,8.6982,8.7704,8.5494
2023-07-10 16:00:00,8.7424,8.7986,8.7986,8.5914
2023-07-10 20:00:00,8.755,8.6567,8.7685,8.6002
2023-07-11 00:00:00,8.6787,8.692,8.6942,8.6186
2023-07-11 04:00:00,8.6828,8.6934,8.7334,8.6346
2023-07-11 08:00:00,8.642,8.695,8.7031,8.6143
2023-07-11 12:00:00,8.6956,8.7143,8.7683,8.6532
2023-07-11 16:00:00,8.7007,8.6779,8.7512,8.6501
2023-07-11 20:00:00,8.6862,8.7003,8.725,8.6779
2023-07-12 00:00:00,8.7002,8.7349,8.7578,8.656
2023-07-12 04:00:00,8.7348,8.703,8.7348,8.703
2023-07-12 08:00:00,8.7029,8.7684,8.7755,8.6759
2023-07-12 12:00:00,8.7773,8.6745,8.7952,8.65
2023-07-12 16:00:00,8.6745,8.2013,8.7219,8.1447
2023-07-12 20:00:00,8.2013,8.4882,8.5433,8.2013
2023-07-13 00:00:00,8.4879,8.4449,8.5706,8.2905
2023-07-13 04:00:00,8.4696,8.4401,8.4696,8.3943
2023-07-13 08:00:00,8.4151,8.4608,8.4799,8.3944
2023-07-13 12:00:00,8.4441,8.4918,8.4993,8.3355
2023-07-13 16:00:00,8.5002,8.5173,8.7393,8.3685
2023-07-13 20:00:00,8.5256,8.5887,8.7373,8.4036
2023-07-14 00:00:00,8.5914,8.6265,8.6334,8.4633
2023-07-14 04:00:00,8.6198,8.5729,8.6334,8.5668
2023-07-14 08:00:00,8.5729,8.5748,8.6334,8.5161
2023-07-14 12:00:00,8.5645,8.5011,8.6238,8.2501
2023-07-14 16:00:00,8.4914,8.0022,8.5621,7.8
2023-07-14 20:00:00,8.0388,7.9716,8.039,7.8001
2023-07-15 00:00:00,7.9185,7.9507,8.0275,7.8612
2023-07-15 04:00:00,7.9508,8.028,8.0751,7.9166
2023-07-15 08:00:00,8.0603,8.1492,8.232,8.009
2023-07-15 12:00:00,8.1405,8.1472,8.1813,8.1074
2023-07-15 16:00:00,8.1362,8.0906,8.1362,7.9958
2023-07-15 20:00:00,8.0483,8.1168,8.2148,7.9507
2023-07-16 00:00:00,8.1612,8.4837,8.4997,8.0296
2023-07-16 04:00:00,8.4994,8.4999,8.4999,8.2903
2023-07-16 08:00:00,8.437,8.1229,8.4893,8.03
2023-07-16 12:00:00,8.0757,8.2112,8.2112,7.989
2023-07-16 16:00:00,8.2103,8.1743,8.2107,8.0931
2023-07-16 20:00:00,8.0798,8.0921,8.134,8.0318
2023-07-17 00:00:00,8.0921,8.2142,8.2148,8.0921
2023-07-17 04:00:00,8.2142,8.2554,8.306,8.1792
2023-07-17 08:00:00,8.2554,8.2414,8.2799,8.2269
2023-07-17 12:00:00,8.2431,8.2565,8.2999,8.1401
2023-07-17 16:00:00,8.2572,8.1978,8.2572,8.0798
2023-07-17 20:00:00,8.2386,8.2764,8.2764,8.15
2023-07-18 00:00:00,8.2901,8.3655,8.3655,8.2886
2023-07-18 04:00:00,8.3204,8.3357,8.3357,8.2949
2023-07-18 08:00:00,8.3356,8.2921,8.3753,8.2921
2023-07-18 12:00:00,8.3306,8.2464,8.3971,8.1397
2023-07-18 16:00:00,8.2464,8.106,8.2899,8.1032
2023-07-18 20:00:00,8.1764,8.2124,8.2174,8.1062
2023-07-19 00:00:00,8.1925,8.154,8.2265,8.068
2023-07-19 04:00:00,8.1514,8.1093,8.2672,8.1093
2023-07-19 08:00:00,8.1981,8.151,8.1981,8.151
2023-07-19 12:00:00,8.1463,8.2335,8.3211,8.1012
2023-07-19 16:00:00,8.2405,8.2392,8.4315,8.0176
2023-07-19 20:00:00,8.2247,8.0715,8.2247,7.951
2023-07-20 00:00:00,8.1336,8.0771,8.14,7.9465
2023-07-20 04:00:00,8.066,8.0741,8.1218,7.9984
2023-07-20 08:00:00,8.1216,8.1278,8.2148,7.9596
2023-07-20 12:00:00,8.1764,8.0546,8.1831,8.0546
2023-07-20 16:00:00,8.0552,7.9871,8.0552,7.7998
2023-07-20 20:00:00,7.9719,7.9936,7.9936,7.9287
2023-07-21 00:00:00,7.9637,7.8903,7.9723,7.77
2023-07-21 04:00:00,7.9474,7.9008,7.9474,7.9008
2023-07-21 08:00:00,7.8912,7.8363,7.8912,7.7701
2023-07-21 12:00:00,7.8649,7.9051,7.9099,7.8404
2023-07-21 16:00:00,7.8571,7.9098,7.9109,7.8364
2023-07-21 20:00:00,7.9088,8.0378,8.0985,7.8625
2023-07-22 00:00:00,8.0249,7.951,8.0992,7.951
2023-07-22 04:00:00,7.9266,7.9596,7.9867,7.9031
2023-07-22 08:00:00,7.9427,8.0102,8.0708,7.9427
2023-07-22 12:00:00,7.9996,8.0898,8.1743,7.9993
2023-07-22 16:00:00,8.1152,8.2965,8.3674,8.1152
2023-07-22 20:00:00,8.2863,8.2,8.3648,8.1307
2023-07-23 00:00:00,8.1891,8.1636,8.2,8.1404
2023-07-23 04:00:00,8.1547,8.1302,8.1714,8.1302
2023-07-23 08:00:00,8.1221,8.0992,8.127,8.0799
2023-07-23 12:00:00,8.081,7.7961,8.081,7.7268
2023-07-23 16:00:00,7.8122,8.0407,8.1245,7.7987
2023-07-23 20:00:00,8.0371,8.0673,8.0777,7.9966
