Date,Open,Close,High,Low
2023-07-09 16:00:00,1.9442,1.933,1.9449,1.9297
2023-07-09 20:00:00,1.9328,1.9234,1.9374,1.9181
2023-07-10 00:00:00,1.9242,1.8857,1.9282,1.8754
2023-07-10 04:00:00,1.885,1.8757,1.8939,1.869
2023-07-10 08:00:00,1.8761,1.8986,1.8986,1.8618
2023-07-10 12:00:00,1.8989,1.9075,1.9187,1.8909
2023-07-10 16:00:00,1.9073,2.0045,2.0161,1.8971
2023-07-10 20:00:00,2.0102,1.9584,2.0124,1.9325
2023-07-11 00:00:00,1.9576,1.9585,1.9657,1.9398
2023-07-11 04:00:00,1.9565,1.9493,1.9636,1.9386
2023-07-11 08:00:00,1.9497,1.927,1.9509,1.9187
2023-07-11 12:00:00,1.925,1.9143,1.9309,1.9061
2023-07-11 16:00:00,1.912,1.9008,1.9177,1.8931
2023-07-11 20:00:00,1.9003,1.9128,1.919,1.897
2023-07-12 00:00:00,1.9084,1.9101,1.9268,1.9062
2023-07-12 04:00:00,1.9109,1.927,1.9366,1.9032
2023-07-12 08:00:00,1.9242,1.9187,1.927,1.9151
2023-07-12 12:00:00,1.9185,1.8999,1.9338,1.8954
2023-07-12 16:00:00,1.8993,1.8729,1.9,1.8656
2023-07-12 20:00:00,1.8699,1.8839,1.8876,1.8678
2023-07-13 00:00:00,1.8822,1.8728,1.8892,1.8723
2023-07-13 04:00:00,1.8752,1.8908,1.9003,1.8664
2023-07-13 08:00:00,1.8886,1.9135,1.9207,1.887
2023-07-13 12:00:00,1.9164,1.9717,1.9943,1.8921
2023-07-13 16:00:00,1.9801,2.24,2.3414,1.9604
2023-07-13 20:00:00,2.2395,2.2893,2.2954,2.154
2023-07-14 00:00:00,2.2892,2.4041,2.5203,2.2612
2023-07-14 04:00:00,2.4055,2.3765,2.4275,2.3587
2023-07-14 08:00:00,2.3746,2.3461,2.3903,2.2965
2023-07-14 12:00:00,2.3477,2.4405,2.4405,2.3219
2023-07-14 16:00:00,2.4412,2.1983,2.4646,2.1726
2023-07-14 20:00:00,2.1982,2.3496,2.3714,2.1676
2023-07-15 00:00:00,2.3486,2.3762,2.3983,2.3381
