Date,Open,Close,High,Low
2024-01-18 08:00:00,0.36,2.6657,3.5404,0.36
2024-01-18 12:00:00,2.6755,2.1429,2.8,2.1
2024-01-18 16:00:00,2.1449,2.1171,2.2395,2.0479
2024-01-18 20:00:00,2.1162,2.1743,2.2074,2.05
2024-01-19 00:00:00,2.1708,2.1128,2.43,2.1001
2024-01-19 04:00:00,2.1154,2.1517,2.363,2.1
2024-01-19 08:00:00,2.1547,2.2003,2.24,2.124
2024-01-19 12:00:00,2.1998,2.2449,2.36,2.178
2024-01-19 16:00:00,2.2449,2.484,2.5836,2.15
2024-01-19 20:00:00,2.4745,2.3133,2.5698,2.311
2024-01-20 00:00:00,2.3135,2.3237,2.4822,2.2783
2024-01-20 04:00:00,2.3206,2.3274,2.4166,2.2628
2024-01-20 08:00:00,2.3251,2.2476,2.3482,2.1768
2024-01-20 12:00:00,2.2464,2.1759,2.2944,2.15
2024-01-20 16:00:00,2.1805,2.2877,2.348,2.1634
2024-01-20 20:00:00,2.288,2.2648,2.305,2.2182
2024-01-21 00:00:00,2.2644,2.25,2.2904,2.1943
2024-01-21 04:00:00,2.2438,2.468,2.4888,2.2057
2024-01-21 08:00:00,2.4682,2.3929,2.5086,2.3305
2024-01-21 12:00:00,2.3909,2.4785,2.5,2.3551
2024-01-21 16:00:00,2.4785,2.4938,2.584,2.4193
2024-01-21 20:00:00,2.4909,2.6752,2.6884,2.4554
2024-01-22 00:00:00,2.6779,2.634,2.7964,2.58
2024-01-22 04:00:00,2.6375,2.4175,2.6459,2.389
2024-01-22 08:00:00,2.4145,2.493,2.525,2.3182
2024-01-22 12:00:00,2.49,2.475,2.5347,2.3627
2024-01-22 16:00:00,2.4719,2.4122,2.4979,2.352
2024-01-22 20:00:00,2.4128,2.4345,2.5517,2.4061
2024-01-23 00:00:00,2.4345,2.4564,2.4911,2.3756
2024-01-23 04:00:00,2.4533,2.4513,2.5402,2.4113
2024-01-23 08:00:00,2.4505,2.3482,2.5039,2.2983
2024-01-23 12:00:00,2.3467,2.3017,2.392,2.2014
2024-01-23 16:00:00,2.3032,2.4432,2.49,2.2631
2024-01-23 20:00:00,2.4432,2.6283,2.7,2.4001
2024-01-24 00:00:00,2.6288,2.5375,2.73,2.4755
2024-01-24 04:00:00,2.5378,2.6636,2.7061,2.5101
2024-01-24 08:00:00,2.6658,2.8524,2.8763,2.607
2024-01-24 12:00:00,2.8502,2.9338,2.98,2.8156
2024-01-24 16:00:00,2.9337,3.095,3.1858,2.8888
2024-01-24 20:00:00,3.099,3.2538,3.2826,3.036
2024-01-25 00:00:00,3.252,3.2607,3.5,3.0692
2024-01-25 04:00:00,3.2593,3.1456,3.3275,3.0931
2024-01-25 08:00:00,3.1499,2.9848,3.1808,2.92
