Date,Open,Close,High,Low
2023-06-25 16:00:00,2.123,2.18,2.209,2.123
2023-06-25 20:00:00,2.18,2.154,2.23,2.15
2023-06-26 00:00:00,2.163,2.117,2.163,2.109
2023-06-26 04:00:00,2.108,2.076,2.119,2.073
2023-06-26 08:00:00,2.076,2.059,2.09,2.041
2023-06-26 12:00:00,2.058,2.085,2.122,2.04
2023-06-26 16:00:00,2.085,2.069,2.089,2.051
2023-06-26 20:00:00,2.069,2.07,2.07,2.069
2023-06-27 00:00:00,2.08,2.099,2.124,2.07
2023-06-27 04:00:00,2.1,2.099,2.136,2.071
2023-06-27 08:00:00,2.105,2.13,2.168,2.094
2023-06-27 12:00:00,2.13,2.167,2.2,2.118
2023-06-27 16:00:00,2.167,2.219,2.28,2.16
2023-06-27 20:00:00,2.214,2.185,2.22,2.185
2023-06-28 00:00:00,2.199,2.203,2.219,2.146
2023-06-28 04:00:00,2.191,2.171,2.191,2.154
2023-06-28 08:00:00,2.158,2.16,2.174,2.134
2023-06-28 12:00:00,2.159,2.133,2.162,2.104
2023-06-28 16:00:00,2.125,2.099,2.131,2.087
2023-06-28 20:00:00,2.098,2.099,2.11,2.05
2023-06-29 00:00:00,2.11,2.059,2.141,2.043
2023-06-29 04:00:00,2.068,2.083,2.101,2.068
2023-06-29 08:00:00,2.083,2.159,2.16,2.083
2023-06-29 12:00:00,2.159,2.108,2.159,2.108
2023-06-29 16:00:00,2.108,2.069,2.137,2.049
2023-06-29 20:00:00,2.069,2.11,2.119,2.039
2023-06-30 00:00:00,2.113,2.109,2.116,2.101
2023-06-30 04:00:00,2.115,2.083,2.115,2.039
2023-06-30 08:00:00,2.076,2.077,2.115,2.05
2023-06-30 12:00:00,2.077,2.036,2.121,2.007
2023-06-30 16:00:00,2.036,2.078,2.084,1.981
2023-06-30 20:00:00,2.078,2.078,2.097,2.039
2023-07-01 00:00:00,2.078,2.055,2.079,2.052
2023-07-01 04:00:00,2.052,2.057,2.072,2.038
2023-07-01 08:00:00,2.072,2.029,2.073,2.001
2023-07-01 12:00:00,2.025,2.05,2.05,2.006
2023-07-01 16:00:00,2.048,2.038,2.076,2.016
2023-07-01 20:00:00,2.048,2.054,2.059,2.028
2023-07-02 00:00:00,2.055,2.05,2.064,2.015
2023-07-02 04:00:00,2.047,2.073,2.095,2.024
2023-07-02 08:00:00,2.068,2.039,2.081,2.037
2023-07-02 12:00:00,2.039,2.079,2.08,2.038
2023-07-02 16:00:00,2.077,2.079,2.111,2.068
2023-07-02 20:00:00,2.076,2.089,2.11,2.031
2023-07-03 00:00:00,2.086,2.104,2.119,2.086
2023-07-03 04:00:00,2.103,2.112,2.115,2.092
2023-07-03 08:00:00,2.114,2.123,2.135,2.102
2023-07-03 12:00:00,2.132,2.08,2.143,2.076
2023-07-03 16:00:00,2.081,2.123,2.128,2.08
2023-07-03 20:00:00,2.118,2.123,2.136,2.118
2023-07-04 00:00:00,2.135,2.108,2.135,2.099
2023-07-04 04:00:00,2.115,2.123,2.127,2.1
2023-07-04 08:00:00,2.123,2.004,2.123,1.851
2023-07-04 12:00:00,2.004,2.004,2.038,1.971
2023-07-04 16:00:00,2.003,2.022,2.037,1.981
2023-07-04 20:00:00,2.014,2.034,2.034,2.013
