Date,Open,Close,High,Low
2023-07-09 16:00:00,1.3598,1.3642,1.3685,1.3595
2023-07-09 20:00:00,1.3641,1.3674,1.3732,1.3641
2023-07-10 00:00:00,1.3673,1.3637,1.3674,1.356
2023-07-10 04:00:00,1.3637,1.3671,1.3671,1.3577
2023-07-10 08:00:00,1.3669,1.3713,1.3797,1.3626
2023-07-10 12:00:00,1.3718,1.3731,1.379,1.3676
2023-07-10 16:00:00,1.3736,1.3802,1.382,1.3719
2023-07-10 20:00:00,1.3806,1.3672,1.3819,1.367
2023-07-11 00:00:00,1.3673,1.371,1.3746,1.3673
2023-07-11 04:00:00,1.371,1.3704,1.3729,1.3655
2023-07-11 08:00:00,1.3709,1.3642,1.3709,1.3603
2023-07-11 12:00:00,1.3633,1.346,1.3658,1.3301
2023-07-11 16:00:00,1.3459,1.3448,1.3461,1.3378
2023-07-11 20:00:00,1.3453,1.3389,1.346,1.3337
2023-07-12 00:00:00,1.3388,1.3415,1.3436,1.338
2023-07-12 04:00:00,1.3411,1.3433,1.346,1.3407
2023-07-12 08:00:00,1.3441,1.342,1.3443,1.3334
2023-07-12 12:00:00,1.3425,1.3354,1.3461,1.3331
2023-07-12 16:00:00,1.3354,1.3273,1.3354,1.3261
2023-07-12 20:00:00,1.3266,1.3204,1.3266,1.3139
2023-07-13 00:00:00,1.32,1.3102,1.3222,1.3098
2023-07-13 04:00:00,1.3102,1.32,1.3201,1.3089
2023-07-13 08:00:00,1.3201,1.3412,1.3434,1.3187
2023-07-13 12:00:00,1.3414,1.3387,1.3515,1.3239
2023-07-13 16:00:00,1.3394,1.3459,1.3698,1.3368
2023-07-13 20:00:00,1.3462,1.364,1.364,1.3425
2023-07-14 00:00:00,1.3642,1.3563,1.3676,1.3506
2023-07-14 04:00:00,1.3555,1.3517,1.3611,1.3506
2023-07-14 08:00:00,1.3517,1.3604,1.363,1.3517
2023-07-14 12:00:00,1.3604,1.3698,1.3709,1.3569
2023-07-14 16:00:00,1.3691,1.3303,1.375,1.33
2023-07-14 20:00:00,1.3307,1.3663,1.3681,1.33
2023-07-15 00:00:00,1.3663,1.3322,1.3663,1.3319
2023-07-15 04:00:00,1.3324,1.3447,1.3468,1.3324
2023-07-15 08:00:00,1.3451,1.3449,1.347,1.3416
2023-07-15 12:00:00,1.3454,1.3483,1.3538,1.3425
2023-07-15 16:00:00,1.3481,1.3542,1.3549,1.3462
2023-07-15 20:00:00,1.3546,1.3601,1.3604,1.3517
2023-07-16 00:00:00,1.3598,1.3515,1.3627,1.351
2023-07-16 04:00:00,1.3518,1.3515,1.3582,1.3504
2023-07-16 08:00:00,1.3513,1.3544,1.3557,1.3501
2023-07-16 12:00:00,1.3547,1.3664,1.3692,1.3519
2023-07-16 16:00:00,1.3664,1.3557,1.3698,1.3557
2023-07-16 20:00:00,1.3561,1.3571,1.3633,1.3517
2023-07-17 00:00:00,1.3566,1.3666,1.3675,1.3526
2023-07-17 04:00:00,1.3659,1.366,1.3694,1.3636
2023-07-17 08:00:00,1.3657,1.3476,1.3664,1.3434
2023-07-17 12:00:00,1.3474,1.3471,1.354,1.3427
2023-07-17 16:00:00,1.3471,1.3528,1.3528,1.3368
2023-07-17 20:00:00,1.3527,1.3568,1.3597,1.34
2023-07-18 00:00:00,1.3558,1.3504,1.3573,1.3492
2023-07-18 04:00:00,1.3506,1.3485,1.3518,1.348
2023-07-18 08:00:00,1.3481,1.3322,1.3509,1.3314
2023-07-18 12:00:00,1.3321,1.3854,1.4378,1.3321
2023-07-18 16:00:00,1.3845,1.3997,1.4307,1.3681
2023-07-18 20:00:00,1.4,1.3855,1.4056,1.384
