Date,Open,Close,High,Low
2023-06-25 16:00:00,2.1264,2.0977,2.1385,2.0314
2023-06-25 20:00:00,2.0965,2.1298,2.2074,2.084
2023-06-26 00:00:00,2.1241,2.1183,2.264,2.0613
2023-06-26 04:00:00,2.1199,2.0337,2.1304,2.0011
2023-06-26 08:00:00,2.0286,2.036,2.0646,1.9919
2023-06-26 12:00:00,2.0389,2.0735,2.143,2.0201
2023-06-26 16:00:00,2.0729,2.0737,2.1701,2.0492
2023-06-26 20:00:00,2.0776,2.037,2.0884,2.0136
2023-06-27 00:00:00,2.0402,2.1238,2.2053,2.023
2023-06-27 04:00:00,2.1201,2.0713,2.1333,2.0574
2023-06-27 08:00:00,2.0735,2.1237,2.2057,2.0672
2023-06-27 12:00:00,2.1194,2.0991,2.2239,2.0937
2023-06-27 16:00:00,2.1049,2.0999,2.1333,2.099
2023-06-27 20:00:00,2.0999,2.1022,2.1311,2.0824
2023-06-28 00:00:00,2.1022,2.0286,2.1022,2.013
2023-06-28 04:00:00,2.0289,2.0185,2.13,1.9756
2023-06-28 08:00:00,2.0156,2.0175,2.0389,1.9918
2023-06-28 12:00:00,2.0209,2.0267,2.0335,1.9894
2023-06-28 16:00:00,2.0286,1.8999,2.0295,1.87
2023-06-28 20:00:00,1.9046,1.9058,1.9544,1.8893
2023-06-29 00:00:00,1.9078,1.9152,1.9361,1.8825
2023-06-29 04:00:00,1.9097,1.8948,1.9172,1.8653
2023-06-29 08:00:00,1.89,1.9283,1.9307,1.8697
2023-06-29 12:00:00,1.928,1.9066,1.9811,1.9048
2023-06-29 16:00:00,1.9096,1.9296,1.9331,1.9078
2023-06-29 20:00:00,1.9299,1.9075,1.9389,1.8857
2023-06-30 00:00:00,1.9075,2.0444,2.15,1.9075
2023-06-30 04:00:00,2.0432,2.0841,2.1416,2.0109
2023-06-30 08:00:00,2.0836,2.037,2.1013,2.0272
2023-06-30 12:00:00,2.0408,1.9386,2.0789,1.792
2023-06-30 16:00:00,1.9394,1.973,2.0226,1.9247
2023-06-30 20:00:00,1.9768,1.9766,1.9965,1.9709
2023-07-01 00:00:00,1.9808,1.9301,2.0023,1.9065
2023-07-01 04:00:00,1.9297,1.9346,1.9376,1.8966
2023-07-01 08:00:00,1.9376,1.9259,1.9407,1.9085
2023-07-01 12:00:00,1.9258,1.9295,1.96,1.9185
2023-07-01 16:00:00,1.9293,1.9319,1.9368,1.914
2023-07-01 20:00:00,1.9314,1.9446,1.9494,1.9294
2023-07-02 00:00:00,1.9452,1.8823,1.9494,1.8732
